bangla_speech,english_speech,dialect
নিজ ওর দোষ খুজিয়া ফাওয়া যে কষ্ট'র,It is very difficult to find fault with oneself,Sylhet
মোর বড় বুইন মোরে অনেক ভালবাসে,My elder sister loves me a lot,Barishal 
আই অসুস্থ অয় ফইজ্জি,I fell ill,Chittagong
আমি অসুস্থ হয়া পরসিলাম,I fell ill,Mymensingh
আই বেরামে হরি গেছিলাম,I fell ill,Noakhali
আমি অসুস্থ ওই গেছলাম,I fell ill,Sylhet
মোর জামাই হাসপাতাল আইছে মোর বাফেরে দ্যাখতে না মোরে নেতে,My husband came to the hospital not to see my father but to pick me up,Barishal 
আম্মার মুঅনে ইতারা হইজ্জা গরে,They quarrel in front of mother,Chittagong
আম্মার সামনে হেরা যা তা ঝগড়া করেন,They quarrel in front of mother,Mymensingh
মার সামনে হেতোনরা যা তা ঝগড়া করে,They quarrel in front of mother,Noakhali
 আম্মার সামনে তারা যা তা ঝগড়া করইন,They quarrel in front of mother,Sylhet
গ্যাছে এক মাস আগে বউর লগে কাইজ্জা কইরা জামাই দেশে চইল্যা আহে,"A month ago, the husband came to the country after quarreling with his wife",Barishal 
ভাত রান্নার বাডি ইবা শক্ত গরি ডাকি রাহা লাগিবো,The rice cooker should be covered tightly,Chittagong
ভাত রান্দনের পাত্রটা শক্ত কইরা ঢাইক্কা রাখতে হইব,The rice cooker should be covered tightly,Mymensingh
ভাত রাইনবার পাত্রগা শক্ত করি ঢাকি রাইকতে অইবো,The rice cooker should be covered tightly,Noakhali
ভাত রান্দার ফাত্রটি শক্ত করে ঢাকিয়া রাকতে অইবো,The rice cooker should be covered tightly,Sylhet
একজনের হাতে আবার মোডা এউক্কা খাতা,One has a thick notebook in his hand,Barishal 
আই বেইন্না ৮ টাত ডিউটি'ত চলি যাইগোই,I leave for duty at 8 am,Chittagong
আমি সকাল ৮ টাই ডিউটিতে চইল্লা যাই,I leave for duty at 8 am,Mymensingh
আই ভোর ৮ টায় ডিউটিতে চলি যাই,I leave for duty at 8 am,Noakhali
আমি সকাল ৮ টাত ডিউটিত যাই গি,I leave for duty at 8 am,Sylhet
খালি মাইয়ারাই পারে অবলা পোলাগো সহজ সরল মনডা রে ফুটবল ভাইবা খেলা করতে,Only girls can fool the simple minds of boys and play football,Barishal 
আঁর বরবইন আঁরে বউত বালবাসে,My elder sister loves me a lot,Chittagong
আমার বড় বইন আমারে মেলা ভালবাসে,My elder sister loves me a lot,Mymensingh
আর বড্ডা বইন আরে বহুত ভালোবাসে,My elder sister loves me a lot,Noakhali
আমার বড় বইনে আমারে খুব বালা ফায়,My elder sister loves me a lot,Sylhet
হাত-মুখ ধুইয়া হ্যায় নাস্তা করতে বইছে,He washed his hands and face and sat down to eat breakfast,Barishal 
আর জামাই হাসফাতালত আইসসে আর আব্বুরে দেহিতো নয় আরে লইবেল্লাই আইসসে দে,My husband came to the hospital not to see my father but to pick me up,Chittagong
আমার জামাই হাসপাতাল আইসে আমার আব্বারে দেখতে না আমারে নিতে,My husband came to the hospital not to see my father but to pick me up,Mymensingh
"আর স্বামী হাসপাতাল আইছে আর বাপরে দেইখতে ন, আরে নিতো",My husband came to the hospital not to see my father but to pick me up,Noakhali
 মোর জামাই হাসপাতাল আইছে মোর আব্বারে দেখাত নায় আমারে নেওয়াত,My husband came to the hospital not to see my father but to pick me up,Sylhet
দম বন্ধ হইয়া আহে চিক্কর দিয়া কানতে মন চায়,Suffocated and wants to scream and cry,Barishal 
গত এম্মাস আগে বউঅর ফোয়ারে হইয্যা গরি জামাই দেশ অত আ গেইয়্যুয়,"A month ago, the husband came to the country after quarreling with his wife",Chittagong
গত এক মাস আগে বউয়ের সাথে ঝগড়া কইরা জামাই দেশে চইল্লা আসে,"A month ago, the husband came to the country after quarreling with his wife",Mymensingh
গত এক মাস আগে জামাই বউর লগে কাইজ্জা করি দেশে চলি আইছে ,"A month ago, the husband came to the country after quarreling with his wife",Noakhali
গত এখ মাস আগে বউর লগে ঝগড়া লাগিয়া জামাই দেশো আইচ্চে,"A month ago, the husband came to the country after quarreling with his wife",Sylhet
মুই তোমার লগে পিরথিবি ঘুইররা আইতে চাই,I want to travel the world with you,Barishal 
একজনোর আতত দোর এক্কান হাতা,One has a thick notebook in his hand,Chittagong
একজনের হাতে আবার মোটা একটা খাতা,One has a thick notebook in his hand,Mymensingh
একজনের আতে আবার মোডা ওকগা খাতা,One has a thick notebook in his hand,Noakhali
একগুর হাত-ও আবার মোটা একগু খাতা,One has a thick notebook in his hand,Sylhet
হগলডির জীবনে এউক্কা লক্ষ্য থাকতে হইবে,Everyone should have a goal in life,Barishal 
একমাত্র মাইফোয়াঅক্কল ফারে সহজ সরলব ফোয়াওক্কলর মন নান এরে ফুটবল টা আরি কেলা হাইতো,Only girls can fool the simple minds of boys and play football,Chittagong
একমাত্র মাইয়ারাই ফারে অবলা পোলাদের সহজ সরল মনটা রে ফুটবল ভাইব্বা খেলা করতে,Only girls can fool the simple minds of boys and play football,Mymensingh
একমাত্র মাইয়ারাই হারে অবলা  হোলাগোর সহজ সরল মনগারে  লই ফুটবল এর মত খেইলতো,Only girls can fool the simple minds of boys and play football,Noakhali
 খালি ফুড়িন্তেউ পারইন বেচারা ফুয়াইন্তর সরল মনরে ফুটবল ভাবিয়া খেলতা,Only girls can fool the simple minds of boys and play football,Sylhet
আব্বারে হাস্পাতালে দেইক্ষা বেমালা খারাপ লাগছে,I am very sad to see my father in the hospital,Barishal 
ফুয়াার ববিশোতোর হতা বাবিয়েরে চুপ গরি আছি,I am silent thinking about the boy's future,Chittagong
ছেড়াটার ভবিষ্যতের কথা ভাইব্বা চুপ কইরা আসি,I am silent thinking about the boy's future,Mymensingh
হোলাগার ভবিষ্যতের কথা ভাবি চুপ করি আছি,I am silent thinking about the boy's future,Noakhali
ফুয়াগুতার ভবিষ্যতর খতা ভাবিয়া চুফ মারি আছি,I am silent thinking about the boy's future,Sylhet
শুধু গানডা যেমন আল্লেহো সেরম ই রইয়া গ্যাছে,Only the song remains as it was,Barishal 
নিয়াস বন্দ অই আয়্যে গুযোরি হাইন্তো মনে হয়,Suffocated and wants to scream and cry,Chittagong
দম বন্ধ হইয়া আয় চিৎকার কইরা কাঁনতে ইচ্ছা করে,Suffocated and wants to scream and cry,Mymensingh
ধম ভন্দ হই আসতেছে চিৎকার করে কাদতে ইচ্ছা করে,Suffocated and wants to scream and cry,Noakhali
দম বন অইয়া আয় চিক্কার মারিয়া কান্দার ইচ্ছা খরে,Suffocated and wants to scream and cry,Sylhet
বইশ্যাহইলেও কি গাছে পানি দেতে হইবে?,"Even if it rains, do you have to water the trees?",Barishal 
আঁই তোয়াঁর ফোয়ারে পিতিবি গুরি আইতো চাই,I want to travel the world with you,Chittagong
আমি তোমার লগে দুনিয়াডা ঘুইরা আসতাম চাই,I want to travel the world with you,Mymensingh
আই তোয়ার লগে পিথিবি ঘুইরতাম চাই,I want to travel the world with you,Noakhali
আমি তুমিতাইন ওর লগে পৃথিবী ঘুরতাম চাই,I want to travel the world with you,Sylhet
মুই এউক্কা মাইয়া বয়স ২৩ বছর,I am a girl age 23 years,Barishal 
অনে কি লাতিয়া হাইয়োন না?,Did you eat at night?,Chittagong
আফনে কিতা রাইতে খাইসেন ?,Did you eat at night?,Mymensingh
আন্নে কি রাইতে খাইছেন ?,Did you eat at night?,Noakhali
আফনে কিতা রাত্রে খাইছোইন নি?,Did you eat at night?,Sylhet
এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে,A small child is jumping on the bed,Barishal 
"জাম্বুরো ঠান্ডা,  সর্দি-জ্বর জনিত সমইস্যার লাই হাইলে ফলাফল ফোন যায়","Grapefruit is good for cold, flu related problems",Chittagong
"জাম্বুরা ঠান্ডা, সর্দি-জ্বর জনিত সমস্যার লাইজ্ঞা খাইলে ভাল ফলাফল পাওয়ন যায় ","Grapefruit is good for cold, flu related problems",Mymensingh
জাম্বুরা ঠান্ড সর্দির লাই খাইলে ভালা হল পাওন যায়,"Grapefruit is good for cold, flu related problems",Noakhali
জাম্বুরা টানডা সর্দি তাফ সমস্যার লাগি খাইলে ভালা ফলাফল মিলে।,"Grapefruit is good for cold, flu related problems",Sylhet
হেইডা একরহমের যোগাযোগ,It is a form of communication,Barishal 
শুদু গান্নুন যেন আচিল এনই রয় গেয়্যুই,Only the song remains as it was,Chittagong
শুধু গানডা যেমন অসিলো তেমনই রইয়া গেসে,Only the song remains as it was,Mymensingh
হুদা গানআন যেমন আছিলো তেমনি রই গেছ,Only the song remains as it was,Noakhali
খালি গানটা যেমলা আছলি হেমলা অউ রই গেলো,Only the song remains as it was,Sylhet
এলাকায় আগুন লাগছে,There is a fire in the area,Barishal 
"বেক খাম আই গরি,ইবে উগ্গোও খাম নো গরে , তওও আরা হারাপ","I do all the work, he doesn't even do a single work, we are bad",Chittagong
বেগ কাম আমি করি হেয় একটা কাম ও করেন না তাও আমরা খারাপ,"I do all the work, he doesn't even do a single work, we are bad",Mymensingh
বেগগিন কাম আই করি হেতনে ওকগা কাম ও করেন না তাও আমরা খারাপ,"I do all the work, he doesn't even do a single work, we are bad",Noakhali
হখল কাম মুই খরি তাইন এখটা কামও খরইন না তাও আমরা ভালা নায়,"I do all the work, he doesn't even do a single work, we are bad",Sylhet
"যহন ভাবি তুমি ছাড়া মোর জীবনডা আন্ধার, ঠিক তহনই কারেন্ট চইলা আহে","Just when I think my life is dark without you, the current comes",Barishal 
আই একজন ২৩ বছরর মাইয়ে ফোয়া,I am a girl age 23 years,Chittagong
আমি একজন মাইয়া বয়স ২৩ বছর,I am a girl age 23 years,Mymensingh
আই ওকগা মাইয়া বয়স ২৩ বছর,I am a girl age 23 years,Noakhali
মুই এখটা ফুড়ি বয়স ২৩ বৎসর,I am a girl age 23 years,Sylhet
সাড়ে চাইরটায় হগলডির মাডে আওয়ার কথা,Everyone is supposed to come to the field at half past four,Barishal 
ওজ্ঞা গুরা ফোয়া বিচানাতা ফালমারি উডের,A small child is jumping on the bed,Chittagong
একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,A small child is jumping on the bed,Mymensingh
লেদা বাইচ্চা বিছনাত লাফাই উডের ,A small child is jumping on the bed,Noakhali
এখটা ছুটো মনা বিছনাত লাফাইয়া উটের,A small child is jumping on the bed,Sylhet
ঘড়িতে কয়ডা বাজে?,What time is the clock?,Barishal 
ইবে একডৈল্লে যোগাযোগ ,It is a form of communication,Chittagong
হেইডা একধরনের যোগাযোগ,It is a form of communication,Mymensingh
হেইডা একধরনের যোগাযোগ,It is a form of communication,Noakhali
ইখটা এখ ধরনর যুগাযুগ,It is a form of communication,Sylhet
মুই ক্যার ধারে চামু?,Who should I ask?,Barishal 
হান ফানা অয় ফোড়া ফানা অয়,Ears are ripe with boils,Chittagong
কান পাকে ফোড়া পাকে,Ears are ripe with boils,Mymensingh
কান হায় হোড়া হায়,Ears are ripe with boils,Noakhali
গুটা পাকলে কান-ও পাকে,Ears are ripe with boils,Sylhet
আইজগো কোনো খ্যালা হইবে না,There will be no game today,Barishal 
যেত্তে বাবি তুঁই চারা আঁর জিবন নান আঁন্দার টিক এ সময় অত কা আরন আ যাগই,"Just when I think my life is dark without you, the current comes",Chittagong
"যহন ভাবি তুমি ছাড়া আমার জীবনডা আন্ধার, ঠিক তহনই কারেন্ট চইল্লা আসে","Just when I think my life is dark without you, the current comes",Mymensingh
যন ভাবি তুমি ছাড়া আই অন্দকার ঠিক তন এ দেই কারেন্ট চলি আইয়ে,"Just when I think my life is dark without you, the current comes",Noakhali
যেব্‌লাকু ভাবি তুমি ছাড়া আমার জিন্দেগি আইন্দাইর ঠিক হ সময় অউ কারেন্ট আই অয়,"Just when I think my life is dark without you, the current comes",Sylhet
মুই বুইজঝা গ্যাছি অই পোলারে থুইয়া মুই থাকতে পারমু না,I realized that I can't live without that boy,Barishal 
আই  বিদেশত গেইলাম,I went abroad,Chittagong
আমি বিদেশে গেসলাম,I went abroad,Mymensingh
আই বিদেশে গেছিলাম,I went abroad,Noakhali
আমি বিদেশ গেছলাম,I went abroad,Sylhet
জামাইর উপরে মোর একটুও কোন বিচার নাই,I have no complaints against my husband at all,Barishal 
আর ফ্রেমিকার ফরিবার ডিফেন্সর লোক ফসন্দ নো গরে,I don't like the job of defense of my girlfriend's family,Chittagong
আমার গার্লফ্রেন্ড এর পরিবারের ডিফেন্স এর জব নাকি পসন্দ না,I don't like the job of defense of my girlfriend's family,Mymensingh
আর গার্লফ্রেন্ড এর হরিবারের ডিফেন্স এর জব বোলে হছন্দ ন,I don't like the job of defense of my girlfriend's family,Noakhali
মোর গার্লফ্রেন্ডর পরিবারর বুজি ডিফেন্সর জব ফছন্দ না,I don't like the job of defense of my girlfriend's family,Sylhet
হ্যায় দুইনাম্বার বিয়া কইররা শান্তি পায় নাই,He did not find peace in his second marriage,Barishal 
বাজারেত্তুন চাবি বানাইবার লোক আইন্নে,A key maker was brought from the market,Chittagong
বাজার থাইক্কা চাবি বানানুর লোক আনাইলেন,A key maker was brought from the market,Mymensingh
বাজার তুন চাবি বানাইন্না লোক আনাইলেন,A key maker was brought from the market,Noakhali
বাজার তনে চাবি বানানির মানুষ আনাইলা,A key maker was brought from the market,Sylhet
মোর টাহা নাই,I don't have money,Barishal 
আজিয়ে হোনো খেলা অইতু নো,There will be no game today,Chittagong
আইজ কোন খেলা হইতো না ,There will be no game today,Mymensingh
আইজ কোনো খেলা অইতো ন ,There will be no game today,Noakhali
আইজ কোন খেলা ওইতো নায়,There will be no game today,Sylhet
মাইয়ারা ভালোবাসতে বাসতে যে কহন আসলেই অভিনয় শুরু করে হ্যারা হেইয়া নিজেও জানেনা,Girls don't even know when they start acting out of real love,Barishal 
বই ইহেন ফোন গিয়ে,The book is found,Chittagong
বইটা পাওয়ন গেসে,The book is found,Mymensingh
বইকান হাওয়া গেছে,The book is found,Noakhali
বই ওগু ফাওয়া গেছে,The book is found,Sylhet
মোর ফেসবুক আইডি ডা যদি চিড়িয়াখানা হইতে,If my Facebook ID was a zoo,Barishal 
আর ভোইন আ-বিয়াইত্তে,My sister is single,Chittagong
আমার বইন অবিবাহিত,My sister is single,Mymensingh
আর বোন অবিবাহিত,My sister is single,Noakhali
মোর বইন আবিয়াতি,My sister is single,Sylhet
বাড়িতে পোলা আল্লেহ আর হ্যার পরিবারের হগলডি আল্লেহ,There was a son in the house and all the members of his family,Barishal 
আরে দয়া গরি টিক ফরামর্শ দিয়েরে এক্কানা সাহায্য গরো,Please help me with proper advice,Chittagong
আমারে দয়া কইরা সঠিক পরার্মশ দিয়া একটু সাহায্য করেন,Please help me with proper advice,Mymensingh
আরে দয়া করি সঠিক হরার্মশ দি এককানা সাহায্য করেন,Please help me with proper advice,Noakhali
আমারে দয়া করিয়া ভালা উপায় দেখাইয়া সাহায্য করোইন,Please help me with proper advice,Sylhet
করতেয়াছেন কি আম্নে এহন?,What are you doing now?,Barishal 
এডে কিত্তে লাইগ্গু তোরা,What are you doing here?,Chittagong
এইহানে কী করতাসো তোমরা?,What are you doing here?,Mymensingh
ইয়ানে কী কইরতেছো তোমরা?,What are you doing here?,Noakhali
ওনো কিতা কররায় তোমরা?,What are you doing here?,Sylhet
মুই গান গাইতে চাই,I want to sing,Barishal 
মাইফোয়াওক্কল বালবাইসতে বাইস্তে হত্তে যে অবিনয় শুরু গরে ইতারা নিজেরাও হইত ন ফারে,Girls don't even know when they start acting out of real love,Chittagong
ছেড়িরা সত্যিকার ভালোবাসতে বাসতে যে কহন অভিনয় শুরু কইরা দেয় হেরা তা নিজেরাও কইতে ফারেনা,Girls don't even know when they start acting out of real love,Mymensingh
মাইয়ারা সত্যিকারের ভালোবাইসতে বাইসতে কঅন যে অবিনয় শুরু করে নিজেও কইতে হারে না ,Girls don't even know when they start acting out of real love,Noakhali
ফুড়িন্তে হাছা হাছির ভালা পাইতে পাইতে কুন সময় যে অভিনয় শুরু লাগায় ইতা তারা নিজেও জানইন না,Girls don't even know when they start acting out of real love,Sylhet
পরে এউক্কা ভাই কুয়েত চইল্যা যায় আর এউক্কা ভাই সুদান চইল্যা যায়,Later one brother went to Kuwait and another brother went to Sudan,Barishal 
আর বউয়াত্তুন ৮ বছরর ছোড,My wife is 8 years younger than me,Chittagong
আমার বউ আমার থাইক্কা বয়সে ৮ বছরের ছোট,My wife is 8 years younger than me,Mymensingh
আর বৌ আর তুন বয়সে ৮ বছরের ছোড,My wife is 8 years younger than me,Noakhali
মোর বউ মোর থাকি বয়সে ৮ বৎসরর ছুটো,My wife is 8 years younger than me,Sylhet
চাবি দিয়া তালা খোলার পর বেবাক দ্যাখতে পাবা,"After opening the lock with the key, you will see everything",Barishal 
আর ভাই আম্মুরে দরিয়েরে হালি হাদে,My brother just cried holding mom,Chittagong
আমার ভাই আম্মারে ধইরা খালি কানদে ,My brother just cried holding mom,Mymensingh
আর ভাই মারে ধরি খালি কাঁদে,My brother just cried holding mom,Noakhali
 মোর ভাই আম্মারে ধরিয়া খালি কান্দইন,My brother just cried holding mom,Sylhet
মোর বউ একদিনো সময়েরকালে টেবিলে খাওন দেতে পারেনা অনেক সময় বায়রায় যাইয়া নাস্তা করি,My wife can't even put food on the table on time. Many times I go out for breakfast,Barishal 
কি গরন দে অনে এহন,What are you doing now?,Chittagong
কিতা করতাসুইন আফনে এহন?,What are you doing now?,Mymensingh
কিয়া করেন আন্নে অন?,What are you doing now?,Noakhali
কিতা কররা আফনে ওখন?,What are you doing now?,Sylhet
আমনেরা যারা মোরে এহনো চেনেন না,For those of you who don't know me yet,Barishal 
আঁই গান গাইতো চাই,I want to sing,Chittagong
আমি গান গাইতাম চাই,I want to sing,Mymensingh
আই গান গাইতাম চাই,I want to sing,Noakhali
আমি গান গাইতাম চাইয়ার,I want to sing,Sylhet
হ্যায় মাডে আয়নাই,He did not come to the field,Barishal 
ফরে এক বাই কয়েত গেইয়্যুই আরেক বাই সুদান গেইয়্যুই,Later one brother went to Kuwait and another brother went to Sudan,Chittagong
বাদে এক ভাই কুয়েত যায়গা আরেক ভাই সুদান যায়গা,Later one brother went to Kuwait and another brother went to Sudan,Mymensingh
হরে এক ভাই কুয়েত চলি গেছে আরেক ভাই সুদান চলি গেছে,Later one brother went to Kuwait and another brother went to Sudan,Noakhali
বাদে এক ভাই কুয়েত গেছেগি আর আরোখ ভাই সুদান গেছে গি,Later one brother went to Kuwait and another brother went to Sudan,Sylhet
যাগো খামার দেওয়া হইছে হ্যারা দয়া কইরা লাইন দিয়া সৈররা যান,Those who have been abused please step out of line,Barishal 
তুঁই বেশি হতা হ,You talk too much,Chittagong
তুমি বেশী কথা কও,You talk too much,Mymensingh
তুউই বেশি কতা কও,You talk too much,Noakhali
তুমিতাইন বেশি মাতো,You talk too much,Sylhet
কথা যের পাহা না কামে হ্যার ঠনঠন,Whose words are not seasoned in action,Barishal 
আর বাবা মাও এবা লয় বোত হষ্ট ফার,My parents are also suffering from it,Chittagong
আমার আব্বা আম্মাও এডা নিয়া মেলা কষ্ট পাইতাসে,My parents are also suffering from it,Mymensingh
আর বাপ মাও এডা লই অনেক কষ্ট হাইতেছে,My parents are also suffering from it,Noakhali
মোর আব্বা আম্মাও ইকান লইয়া খুব খষ্ট পাইরা ,My parents are also suffering from it,Sylhet
মুই হারা সময় মোর গেরামের মানের পাশে থাকতে চাই,I always want to be with my village people,Barishal 
অনরা যারা আঁরে এইযো ন চিনন,For those of you who don't know me yet,Chittagong
আফনেরা যারা আমারে এহনো চিনেন না,For those of you who don't know me yet,Mymensingh
আন্নেরা যারা অনো আরে চিনেন না ,For those of you who don't know me yet,Noakhali
আফনারা যেরা মোরে এখনো চিনইন না ,For those of you who don't know me yet,Sylhet
মোরে ওইহানে লইয়া লয়েন,Take me there,Barishal 
সে মাঠত নো আইয়ে,He did not come to the field,Chittagong
হেয় মাঠে আয় নাই ,He did not come to the field,Mymensingh
হেতে মাডে আইয়েনো ,He did not come to the field,Noakhali
হে মাঠ-ও আইছে না,He did not come to the field,Sylhet
এহন এইয়ার সমাধান কোম্মে পামু,Now where can I find the solution?,Barishal 
যারারে গাইল দেয়া অই গেইয়্যুয় তারা দয়া গরি লাইন অত্তুন সরি যন,Those who have been abused please step out of line,Chittagong
যারার গালি দেওয়ন হয়া গেসে তারা দয়া কইরা লাইনেরতন সইরা যান,Those who have been abused please step out of line,Mymensingh
যতাগো গালি দেয়ন ওই গেছে হেতারা দয়াকরি লাইনতুন সড়িদাড়ান,Those who have been abused please step out of line,Noakhali
যারার গালি দেওয়া অই গেছে তারা দয়া করি লাইন থাকি হরি যাইন,Those who have been abused please step out of line,Sylhet
মাইয়াডা হ্যার লগে ঘইট্টা যাওয়া কাহিনি পুরাডা পোলাডার পরিবাররে কয়,The girl told the boy's family the entire incident that happened to her,Barishal 
রোগীরে হাসফাতালত ভত্তি গরন ফরিব,The patient must be admitted to the hospital,Chittagong
রোগীরে হাসপাতালে ভর্তি হইতে হইব ,The patient must be admitted to the hospital,Mymensingh
রোগীরে হাসপাতালে ভর্তি অইতে অইবো ,The patient must be admitted to the hospital,Noakhali
রোগীর হাসপাতাল-ও ভর্তি ওয়া লাগবো,The patient must be admitted to the hospital,Sylhet
দুইনাম্বার বিয়ায় মুই কল্পনার চাইয়াও সুখী,I am happier than I could have imagined in my second marriage,Barishal 
আঁই এগাযা আঁর গেরামর মানুষওক্কলর ফাশে তাইক্তো চাই,I always want to be with my village people,Chittagong
আমি বেগসময় আমার গ্রামের মানুষরার পাশে থাকতে চাই,I always want to be with my village people,Mymensingh
আই সবসময় আর গেরামের মানুষের হাশে থাইকতাম চাই,I always want to be with my village people,Noakhali
 মুই হখল সময় মোর গাউর মানুষর পাশে থাকতাম চাই,I always want to be with my village people,Sylhet
পোলাডা বাপ চাচার ডরে বাড়িতে কিছু কইতে পারে না,The boy cannot say anything at home for fear of his father and uncle,Barishal 
এরিম্মা নানা রহম ঝামেলা হইত থাকে,In this way various kinds of trouble started,Chittagong
এমনে নানা রকম ঝামেলা হইতে থাহে,In this way various kinds of trouble started,Mymensingh
এন্নে নানা রকম ঝামেলা অইতে থায় ,In this way various kinds of trouble started,Noakhali
ওলায় বউত রকম ঝামেলা ওইতেউ থাকে,In this way various kinds of trouble started,Sylhet
মুই ফুটবল খ্যালতে ভালোবাসি,I love to play football,Barishal 
আরার আর ইবার সময় তো এক্কই নো,Our time and theirs are not the same,Chittagong
আমরার আর হেরার সময় তো এক না,Our time and theirs are not the same,Mymensingh
আঙ্গো আর হেতাগো সময় তো এক ন,Our time and theirs are not the same,Noakhali
আমরার আর তাইনর সময় তো এখ লাখান নায়,Our time and theirs are not the same,Sylhet
মুই আম্নের লগে আছি,I am with you,Barishal 
এসমত মাইয়াফোয়ার লাই ইন বহুত বয়স,It was a very old age for girls at that time,Chittagong
তহনকার সময় মাইয়ারার লাইজ্ঞা এইডা অনেক বয়স,It was a very old age for girls at that time,Mymensingh
তনকার সময় মাইয়া গো লাই এটা অনেক বয়স,It was a very old age for girls at that time,Noakhali
তখনকুর সময় ফুড়িন্তর লাগি ইখটা অনেখ বয়স,It was a very old age for girls at that time,Sylhet
রেলগাড়ি চলে রেললাইনের উপরে দিয়া,Trains run on railway tracks,Barishal 
বউত বউ কইজ্জা লাগি যাইতো,There was a huge catch,Chittagong
বিশাল ক্যাচাল লাইজ্ঞা যাইত,There was a huge catch,Mymensingh
বিশাল ক্যাচাল লাগি যাইতো,There was a huge catch,Noakhali
খেচা ঝামেলা লাগতো,There was a huge catch,Sylhet
যাগো লগে ভালো সম্পর্ক আছে খালি হ্যাগো পানি দেবে আর কাউরে দেবে না,Give water only to those with whom you have a good relationship and not to anyone else,Barishal 
"এহন আর ইন্দি নো ওদ্দো চো,চোখ ইবা  তাকে  অন্য মাইয়াফুয়ার ইক্কা ","Don't look at me anymore, eyes are on other girls",Chittagong
"আমার দিকে তো আর তাকাও না, চোখ থাকে অন্য মাইয়ারার দিকে!","Don't look at me anymore, eyes are on other girls",Mymensingh
"আর দিকে তো আর রেনো না, রেনি থাও অন্য বেডিগোর দিকে","Don't look at me anymore, eyes are on other girls",Noakhali
"আমার দিকে তো আর চাও না, চউখ থাকে অইন্য ফুরিন্তোর ওবায়","Don't look at me anymore, eyes are on other girls",Sylhet
কেক এর উপরে ল্যাহা আল্লেহ শুভ জন্মদিন মোর বউ,Happy birthday my wife was written on the cake,Barishal 
আঁই ফুটবল কেইলত বালবাসি,I love to play football,Chittagong
আমি ফুটবল খেলতাম ভালবাসি,I love to play football,Mymensingh
আই ফুুটবল খেলতে ভালোবাসি,I love to play football,Noakhali
আমি ফুটবল খেলতে বালা ফাই,I love to play football,Sylhet
কাচা আমের শরবত বেমালা চুক্কা,Raw mango syrup is very sour,Barishal 
আঁই অনর ফোয়ারে আচু,I am with you,Chittagong
আমি আফনের লগে আসি,I am with you,Mymensingh
আই আন্নের লগে আছি,I am with you,Noakhali
আমি আফনার লগে আছি,I am with you,Sylhet
মোর বাড়ির কেউ আইলে হ্যায় বাড়িতে কাইজ্জা শুরু কইররা দ্যায়,Someone from my house actually started a fight in the house,Barishal 
আই রাগি তাকিলেও সে নো বুজিতো,"Even if I was angry, he didn't understand",Chittagong
আমি রাইজ্ঞা থাকলেও হেয় বুঝতো না,"Even if I was angry, he didn't understand",Mymensingh
আই রাগি থাইকলেও হে বুইঝতো না,"Even if I was angry, he didn't understand",Noakhali
  মুুই বেমার থাকলেও তাইন বুঝতা না,"Even if I was angry, he didn't understand",Sylhet
আবেগী মানু বেমালা গোঙ্গা হইয়া থাহে,Emotional people are very stupid,Barishal 
যারার লয় বালা মিল আইসসে এতারোরে ফানি দিয়ে দে আর কোন্নারে নো দিবো,Give water only to those with whom you have a good relationship and not to anyone else,Chittagong
উনারা উনাদের মত পানি দিব যারার লগে ভালা সম্পর্ক আসে খালি তারারে দিব আর কাউরে দিত না,Give water only to those with whom you have a good relationship and not to anyone else,Mymensingh
যেতাগো লগে ভাল সম্পর্ক হুদা হেতাগোরে হানি দিব আর কাউরে দিত নো ,Give water only to those with whom you have a good relationship and not to anyone else,Noakhali
যারার লগে ভালা খাতির খালি তারারে পানি দিবা আর খেউরে দিতা না,Give water only to those with whom you have a good relationship and not to anyone else,Sylhet
তুমি এত্তো ঘুমাও কির লইজ্ঞা?,Why do you sleep so much?,Barishal 
আর সুখ দেহিয়েরে আবার  ইতারোর সহ্য নো অয়,They can't bear to see my happiness,Chittagong
আমার সুখ দেইক্ষা আবার তারার সহ্য হয়না,They can't bear to see my happiness,Mymensingh
আর সুখ দেই হেতাগো আবার সইজ্জ অয় না,They can't bear to see my happiness,Noakhali
আমার সুখ দেখিয়া আবার ইতার সইহ্য ওয় না,They can't bear to see my happiness,Sylhet
মোরে এউক্কা বই উপহার দেও,Give me a book,Barishal 
কাঁচা আমোর শরবত বোত টক,Raw mango syrup is very sour,Chittagong
কাঁচা আমের শরবত মেলা টক,Raw mango syrup is very sour,Mymensingh
কাচা আমের শরবত মেলা চুয়া,Raw mango syrup is very sour,Noakhali
কাচা আমের শরবত অনেক টেংগা,Raw mango syrup is very sour,Sylhet
বইষ্যা কালে চা খাইতে ভাল্লাগে,I like to drink tea on a rainy day,Barishal 
আর বাসাত কেউ আইলে ইবে হইজ্জা শুরু গরি দে,Someone from my house actually started a fight in the house,Chittagong
আমার বাসার কেউ আইলে উনি বাসায় ঝগড়াঝাটি শুরু কইরা দেন,Someone from my house actually started a fight in the house,Mymensingh
আর বাসাত কেউ আইলে হেতনে বাসাত ঝগড়াঝাটি শুরু করি দেয়,Someone from my house actually started a fight in the house,Noakhali
 আমরার বাসাত খেউ আইলে তাইন বাসাত ঝগড়াঝাটি লাগাই দেইন,Someone from my house actually started a fight in the house,Sylhet
