Standard_Bangla,English_translation
তোমাদের দোয়ায় আমরা ভাল আছি,We are doing well with your prayers.
কথা দিয়ে রাখে না কথা,Doesn't keep their word.
আপনার যেতে হবে বিয়েতে,You have to go to the wedding.
কি রে কি অবস্থা কেমন আছিস সবাই,"Hey, what's up? How is everyone doing?"
তুমি কি আমার কথা কোনদিন বলিস,Do you ever tell anyone what I say?
নতুন কি সৃষ্টি করে,What is being created anew?
আমি ফলাফল হাতে হাতে নিবো দেখিস,Make sure I receive the results personally.
তোর কাজ শেষ কর,Finish your work.
মাকে দেখলে মাথায় কাপড় দেয়,She covers her head when she sees her mother.
কোরবানির মাংস নিয়ে আমরা খাই,We eat the meat from the sacrifice (Eid sacrifice).
তাহলে কাজ পাবি অনেক বেশি,Then you will get a lot more work.
পুরো চট্টগ্রামের এখন সুইমিংপুল,The entire Chittagong is now a swimming pool.
পয়সা নষ্ট করে যেতে হবে না,You don't have to waste money.
গোবর লাঠি বানাতে দিবে,Will you allow me to make cow dung sticks?
আমি তো তোর তুই জানিস,"I know you, don't I?"
খাবার দিয়ে দরজা বন্ধ করে দিতে হবে,The door must be closed with food.
দরকার হলে কাজে আসবে,This might come in handy.
আমি তো সকালে উঠি আজকাল,I wake up early these days.
সব সময় এমন জুতা দিয়ে মাইর খায়,He/She always gets beaten with shoes.
বেলা বিস্কুট দুনিয়া থেকে গেছে আজকাল,The era of Bela biscuits is gone these days.
ঝাঁড়া দিই চামড়া তুলে ফেলবো,I will skin it/I'll peel the hide off.
ওখানে আমার বাবা থাকে,My father lives there.
আমার কাজ করতে ভাল লাগে এখন,I enjoy working now.
আমার পছন্দ হয় না গরু,I do not like cows.
গোষ্ঠী নিয়ে বিয়েতে এসেছে,The group has come to the wedding.
বন্যার পানির মত ভারতের বর্ডার পার,Cross the border of India like floodwater.
শুটকি খাবে না তারা,They won't eat dried fish.
কোন কিছু অপূর্ণ রাখবো না,I will leave nothing unfinished.
কেমন আর চলবে ভাল,How long can this continue? / How much longer can things go on like this? / How can this keep going?
আপনার চাঁদ দেখতে হবে না,You don't need to look at the moon.
বোন আর বোনের জামাই কানাডা থাকে,My sister and her husband live in Canada.
আমি নাস্তার মধ্যে বিষ দিয়েছি,I put poison in the breakfast.
আমি দিব তো তুই নিবি,"I will give, will you take?"
আমি মিথ্যা বলি নি তোকে,I didn't lie to you.
পিছনের কথা বলে লাভ নেই,There's no point in talking about the past.
নোয়াখালির ভাষা এখানে কেন যোগ করেছে,Why has the Noakhali language been added here?
ভাল নাটক চাই আমাদের চট্টগ্রামের ভাষায়,We want good plays in the Chittagonian language.
তোমার কি আছে আগে বল,Tell me what you have first.
নয়া কথা না লাগাতে,Don't start a new conversation.
কিছু বুঝতে হবে না,There is nothing to understand.
জনপ্রিয়তা বাড়াবো বলে আশা করা যায়,It is hoped that this will increase popularity.
আমি কেন যাবো তাহলে বল আমাকে,"Then tell me, why should I go?"
আপনি আমাকে বলবেন কোথায় থেকে,You will tell me from where.
সে কি আমাকে পছন্দ করে না,Does she not like me?
ঘরের বাহিরে যেতে মাস্ক পড়বে,You must wear a mask when going outside.
তাদের নিয়ে বেশি ভয় মাথায় রাখবে,Don't worry too much about them.
মেয়ে কথা তো চট্টগ্রামের মত লাগে না,The girl's speech doesn't sound like it's from Chittagong.
ইকবাল না থাকলে তোমাদের ভিডিও আর দেখব না,"If Iqbal isn't there, I won't watch your videos anymore."
তুই জানিস আমি কে,Do you know who I am?
এখানে যেয়ে তোরা কি করবি,What will you all do when you go there?
গলা নিচু করে কথা বলবি আমার সাথে,Speak to me in a low voice.
চোখ নামিয়ে কথা বলবি,Speak while looking down.
আমি খারাপ স্বপ্ন দেখিনি,I didn't have a bad dream.
তুই আমার নাম নিয়ে কি করবি টাকা,"What will you do with my name, money?"
আমরা হলাম যে চট্টগ্রামের,We are from Chittagong.
কোরাল আর লোইটা মাছ,Coral and Loach fish
ইকবাল ভাইকে কাচা মরিচ দিয়ে,Give Iqbal bhai with green chilies.
দাঁত ভেঙ্গে ফেলবো,I will break your teeth.
বারি খেলে মাথায় শিং উঠবে,Drinking water will make horns grow on your head.
একদিন নদীতে এলাকা নৌকা নিয়ে মানুষ যাচ্ছে,"One day, people were going on boats in the river."
তারা হরিণ দেখে আরামে মেরে ফেলল,They comfortably killed the deer.
মরার সময় হরিণটা বলে কি দূর্ভাগা আমি,"As the deer was dying, it said, ""How unfortunate I am!"""
কূলের দিকে বিপদে না ফড়ার জন্য কত কিছু করলাম,I did so much to avoid trouble with my family.
এই নদীর কিনারে এসে গেলাম,We have come to the bank of this river.
মরি গেলাম বেঁচে গেলাম,"I almost died, I survived."
উল্টো আরো সহজে মরে গেলাম,I died even more easily instead.
ব্যাঙ আর বাজ পাখির গল্প,The story of the Frog and the Hawk.
এক ইঁদুর তার কপাল এমন খারাপ,A rat had such bad luck.
এক ব্যাঙের সাথে দোস্তি করল,A frog made friends with someone.
ব্যাঙের একদিন ইঁদুর একটা পায়ের সাথে,"One day, a frog was with a mouse, attached to a foot."
নিজের একটা পা বেধে ফেলল রাখে,Rakha tied his own foot.
টানতে টানতে নিজে পুকুরে থাকে,"Pulling and pulling, he stays in the pond himself."
এখানে ইঁদুর নিয়ে গেছে,The mouse took it.
পুকুরে যেয়ে লাফ দিয়ে,By jumping into the pond
ইঁদুর পানিতে যেয়ে পড়েছে,The mouse has fallen into the water.
পানিতে পরে ব্যাঙের কি মাতামাতি,What a fuss when a frog falls into water!
যেন একটা অনেক কাজ করে ফেলে,It seems like a lot has been accomplished.
ইঁদুর কি যে কষ্ট পেয়েছে,Did the mouse get hurt?
কতক্ষণর ভিতরে পানিতে আমি মরে যাই,How long can I survive in the water?
তার গায়ে পানি ছিল,There was water on his/her body.
তখন ব্যাঙের সাথে পা বাঁধা তার,Then she tied the knot with the frog.
বাজপাখির চোখে পড়েছে পানিতে ইঁদুর উপরে,The hawk spotted a mouse on the water.
নেমে এসে ইঁদুর সাথে নিয়ে গেছে,Came down and took it away with the mouse.
ইঁদুর পায়ে থাকার কারণে ব্যাঙও তখন বাজ পাখির কাছে ধরা খেয়েছে,"Because the mouse was on the frog's feet, the frog was also caught by the hawk at that time."
ইঁদুর আর ব্যাঙ পাখির পেটে গেছে,The mouse and the frog went into the bird's stomach.
একটা নেকড়ে আর ভেড়া চড়ানো রাখাল,A wolf and a shepherd tending sheep.
একটা নেকড়ে রাস্তা দিয়ে হেঁটে যায়,A wolf walks along the road.
ঘরের  যাওয়ার সময় দেখে ঘরের ভিতর ভেড়া চড়ানো,Seeing sheep grazing inside the house while leaving the room.
রাখালের দল রাতে খাবার মাংস দিয়ে,The group of cowherds ate meat at night.
নেকড়ে দেখে রাখালকে ডেকে বলল,"Seeing the wolf, the shepherd was called."
এই কাজ যদি আমি করতাম,If I were to do this task.
তোমরা দুনিয়া মাথায় তুলে ফেলে,You turn the world upside down.
নিজে করে সেটি করলে দোষ হয়,There's something wrong with doing it yourself.
নিজের বিশ্বাস ঠিক তারা জাহির করে,They openly demonstrate their own beliefs.
তারাই আবার অন্যজন করলে মুখ বন্ধ করে দিতে চায়,"They, in turn, want to silence anyone else who does it."
খরগোশ দল আর ব্যাঙের গল্প,The story of the rabbits and the frogs.
খরগোশ শুধু শুধু ভয় করে,The rabbit is afraid for no reason.
আর তার সময় হুশিয়ার হয়ে থাকতে হবে,And one must be vigilant during that time.
সময় অনেক দুঃখ লেগেছে তার,He/She has suffered a lot of pain over time.
আমার আর সহ্য হয় না এই যন্ত্রনা,I can't bear this pain anymore.
একটা ধাক্কায় সব  মিটিয়ে ফেলবে,Everything will be wiped out in one go.
উঁচু পাহাড় থেকে পানিতে লাফ,Jump from a high mountain into the water.
দলে দলে চলল তারা,They went in groups.
তাদের এতো এতো পায়ের আওয়াজ শুনে,Hearing so many footsteps...
পানির ধারে বসে থাকতে থাকতে ব্যাঙ ভয় পায়,"Sitting by the water, the frog gets scared."
বাঁচে থাকার জন্য লাফ দেয় তারা ডুব দেয় পানির নিচে,"They jump to survive, diving underwater."
ব্যাঙের এমন করে দেখে খরগোশ বলে,"Seeing the frog like this, the rabbit said..."
আমার দোস্ত বাদ দাও কাজ,"Forget my friend, leave the work."
আমাদের থেকে ও অসহায় অবস্থায় আছে,They are also helpless like us.
তাদের দেখলে নিজেদের উপরে আস্থা হয়,Seeing them boosts one's confidence.
যারা বাঁচতে জানে না তারা যাবে,Those who don't know how to live will leave.
একবারে দেখবে ও না ঘটনা কি,"You'll see everything at once, and then you'll know what happened."
কি আর হবে তাদের দিয়ে,What can be done with them?
সিংহ আর শুয়োরের গল্প,The story of the lion and the boar.
একটা গ্রীষ্মকালের দিন,One summer day
গরমের চোটে তৃষ্ণায় সবার অবস্থা কাহিল,The intense heat has left everyone severely thirsty.
একটা সিংহ আর একটা শুয়োর এসে হাজির হয়ে এক কুয়ার ধারে,A lion and a boar arrived at the side of a well.
কে আগে পানি খাবে সেটি নিয়ে ঝগড়া লেগে যায়,They started arguing over who would drink the water first.
শুরু হয় মারামারি জান থাকতে আগে পানি খেতে দেবে না,"The fight begins, they won't let you drink water before your life is gone."
আমরা গালি দেই না মুখ দিয়ে বাহির হয়ে যায়,"We don't intentionally curse, it just slips out."
কোন ছেলে বলেছিল আমরা গালি দেই বল আগে,Who said we swear? Tell me first.
তাকে গুলি করে দেবে সামনে পেলে,He will shoot him if he gets the chance.
কে বলেছে গালাগালি করে সবাই,Who said everyone curses?
সেরা সেরা গালি জানে সে,He/She knows the best swear words.
কিন্তু প্রতিদিন মেজবান খাওয়া যায়,But you can eat at Mezbani every day.
কোন শালার ছেলে বলেছে এসব কথা,Which son of a bitch said these things?
তাকে পেলে কি জিনিস দেখিয়ে ছেড়ে দিব,"If I get hold of him, I'll show him what's what."
দেবরকে নিয়ে জামাই খুন করেছে পরকিয়ার জেরে,A son-in-law has murdered his brother-in-law due to an extramarital affair.
বাংলাদেশে পরকিয়া নিয়ে লেখা হয়,Extramarital affairs are written about in Bangladesh.
মেয়ের পরকিয়া নিয়ে কেউ লেখে না,No one writes about a daughter's infidelity.
নেশা করে তো কি বিপদে আগে যায়,Does getting intoxicated lead to trouble first?
বউ মারে তো কি বউকে দরদ করে,"If you hit your wife, do you treat her with affection?"
রাগ করে ভাংচুর করে তো কি তার মন ভাল,Does breaking things out of anger really make him feel better?
বেশি পেলে হিংসা করে তো কি,So what if someone gets more?
সে পড়াশুনায় অনেক ভাল,He/She is very good at studies.
মিছা হথা কইয়্যরে কিন্তু ইতার চরিত্র গম,"Don't speak falsely, or his character will be known."
অনেক মেয়ের সাথে ঘুরে কিন্তু বউকে যত্নে কোন ত্রুটি রাখে না,"He flirts with many girls, but never fails to take good care of his wife."
মহিলা কুটনামি করে কিন্তু সবার আবার উপকার ও করে,"The woman is cunning, but also does good for everyone."
মেয়ে অহংকারী কিন্তু চরিত্রবান,The girl is arrogant but of good character.
মেয়ে নামাজী কিন্তু বাবা মাকে রাগ বেশি দেখায়,She prays regularly but often shows disrespect/anger towards her parents.
বউ বেশি পছন্দ করে না কিন্তু স্বামী বলতে পাগল,"The wife doesn't like it much, but the husband is crazy about it."
মেয়েটা অসুস্থ হলে যায়,She goes when the girl is sick.
বড় অর্জন হল নিজর সম্পর্কে সমালোচনা গ্রহণ করা,A great achievement is accepting criticism about oneself.
আমি ভুল হবো আমি ভুল করবো,"I will make mistakes, I will err."
আঙুল দিয়ে দেখিয়ে দিব,I will show you with my finger.
আমাকে ভুল বুঝে গ্রহণ করার মানসিকতা থাকতে হবে,One must have a mindset of accepting me with my flaws.
আমি মানুষ ফেরেশতা না,I am not an angel.
ভুল ধরে দিলে তো ভাল লাগে,It feels good when mistakes are pointed out.
কিন্তু মানুষ ভুল ধরে দেওয়া একটা করে ফেলে,But people make a mistake in assuming things.
তাহলে আগে তসলিমার বই আপনার পড়তে হবে,Then you must read Taslima Nasrin's books first.
দশজন বলেছে তসলিমা খারাপ,Ten people said Taslima is bad.
তার বই আপনি ছুয়েও দেখে না,You don't even bother to look at his books.
তাহলে আপনি অনেক বোকামি করেন,Then you act very foolishly.
তসলিমার আদর্শ অনাদর্শ পড়তেই হবে,"Taslima's ideals, even the non-ideals, must be read."
একবারে রাস্তায় একটা বহুতল থাকতে দেখে,Seeing a multi-story building suddenly appear on the street...
লাথি দিয়ে বলল এসব কত খেয়েছে,"He said with a kick, ""How much have you eaten?"""
আমি বললাম কি বলিস এসব,"I said, ""What are you talking about?"""
আপনার ছেলে নেশা করে আপনি জানেন,"You know your son is addicted to drugs, don't you?"
আপনার বন্ধু নেশা করে আপনি জানেন না,You are unaware that your friend is addicted to drugs.
বান্ধবী নেশা করে সেটিও জানেন,She also knows that my friend is addicted to drugs.
বয়সের দোষ বলে এড়িয়ে যাচ্ছি,I'm dismissing it as a matter of age.
তার মানে আপনি নিজের কবর খুঁড়ে রাখছেন,That means you are digging your own grave.
আশ্চর্য আমার আর আমার মায়ের কথা,"It's strange, my mother and I..."
হুমায়ুন আহমেদ অনেক আগে কেমন করে,How did Humayun Ahmed do so long ago?
আম্মাকে মরার কথা বললেই এমন অপমান করে,"Whenever I mention Amma's death, she insults me like this."
আপনার মা আমার কাছে যেমনই,Your mother is to me just as (she is to you/like your mother is).
আপনার কাছে আপনার মা সেরা,Your mother is the best to you.
কারণ আপনিই আপনার মাকে ভাল,Because you are the one who loves your mother best.
সবাই যা দেখে সেটিই বিচার করে,Everyone judges based on what they see.
আপনার বাবা দুনিয়ার একটা মানুষ,Your father was a person of this world.
আপনার মায়ের কান্নার জায়গা আছে,Your mother has a place to cry.
রাগ করার জায়গা আছে,There is room for anger.
আপনারও আছে রাগ,You also have anger.
আপনি মায়ের কাছে যেতে পারবেন,You will be able to go to your mother.
চাইতে পারে রাগ করতে পারে,"May get angry, could be angry."
আপনার মা ও আপনার কাছে চাইতে পারে,Your mother may ask you for something.
আপনার বাবার কাছে চাইতে পারে,He/She may ask his/her father.
কোন জানোয়ারকে বিয়ে করার থেকে অবিবাহিত থাকলে ভাল,It is better to remain unmarried than to marry an animal.
বিয়ের পরে বাবা মায়ের কাছে এসে কোন মেয়ে,"After the wedding, which girl comes to her parents' house?"
তার শারীরিক মানসিক নির্যাতনের কথা বলে,She speaks of her physical and mental abuse.
আর বাবা মা মানে নিতে বলেছে,And my parents have agreed to accept it.
তাহলে বাপ মায়ের বাড়ি ছেড়ে যাওয়া ভাল,Then it's better to leave your parents' home.
তোমাকে পুতুলের মত লাগে,You look like a doll.
তুই বুড়ি হলে দেখতে সুন্দর থাকবে না,You won't be beautiful when you get old.
বুড়িই হবে না আসলে,She won't actually get old.
একটা মেয়ের বয়স যখন হয়ে যায়,When a girl reaches a certain age...
তখন মেয়ে সমাজে পরিবারে আর বালাই ছাড়া কিছু না,"Back then, a girl's worth in society and family was nothing beyond marriage."
মেয়েটা মনে করে চাকরি করবে,The girl thinks she will work (have a job).
চাকরি করলে ভবিষ্যৎ ভাল হবে,Having a job will lead to a good future.
বাপ মা মনে করে চাকরি পেয়েছিস,Your parents think you've gotten a job.
ভাল ছেলে পাওয়া যাবে,A good boy will be found.
মেয়ের একবারে মনে করে এসব,She suddenly remembers all of this.
মনে করে তার জন্য বাবা মা অসুস্থ হয়ে যায়,"Thinking about it, his/her parents fell ill."
যে বর্ণনা আমরা পাই তেমন,As per the description we receive
বড় বড় সুন্দর চোখ তার,"She has large, beautiful eyes."
চোখে বুদ্ধি ঝলমল করে,There is a sparkle of intelligence in their eyes.
পৃথিবীর সেরা বুদ্ধিমান ছেলের মত,Like the smartest boy in the world.
কুকুর তাকে ঘিরে এমন করে,The dogs surrounded him like this.
যে প্রানটা যাবার দশা হয়,The life that is about to leave/expire.
কোনও মতে প্রানটা নিয়ে এসেছে,"Somehow, they managed to save his/her life."
এমন সময় সে দেখতে পেয়েছে,"At that moment, he/she saw..."
কাছে দিয়ে একটা ভেড়া চলে যায়,A sheep goes by close.
ছুটে গিয়ে শিকার ধরার উপায় নেই,There's no way to catch the prey by running after it.
কাতর গলায় ভেড়াকে ডেকে বলল,"With a plaintive voice, he called out to the sheep."
ভাই একবারে এই দিকে আসবে,Brother will come this way right away.
ডাক শুনে ভেড়া বলল,"Hearing the call, the sheep said..."
কিন্তু না এসে বলল কি বলতে চাও বল,"But instead of coming, he asked what you wanted to say."
আমি শুনলে যাবো না,"If I hear about it, I won't go."
কোথাও কিছু না ক্লান্ত হয়ে,Tired of nothing anywhere.
একটা ডুমুর গাছের নিচে এসে বসে,Come and sit under the fig tree.
সে দেখল অনেক ডুমুর ফল,She saw many fig fruits.
তখন সে ডুমুর খেতে গিয়ে দেখল,"Then, while going to eat figs, he saw..."
তখনও ভাল করে পাকে নি,It wasn't cooked properly yet.
আর নরম হলে খাওয়া যাবে,And it will be edible when it becomes soft.
দাঁড়কাক মনে করে অপেক্ষা করলে ফল পাকবে,"If you wait patiently like a stork, the fruit will ripen."
আশায় ডুমুর গাছে বসে থাকল,Ashay sat waiting by the fig tree.
আর কোথাও খাবারের খোজে যায় না,And doesn't go anywhere else to look for food.
দাঁড়কাক বলল ভাই ডুমুর ফল খাবার আশায় বসে থাকে,"The crow said, 'Brother, it sits waiting hoping to eat fig fruit.'"
এখন ডুমুর পাকবে,Now the figs will ripen.
তখন পেট ভরে খাবো,Then I will eat my fill.
একদিন পেট আর পায়ের মধ্যে কথা হল,"One day, the stomach and the legs started talking to each other."
শক্তি বেশি সেটি নিয়ে,About the higher power/strength.
পা পেটকে বলে তোমাকে নিয়ে,"The stomach says to the intestines, 'I'm telling you about him/her.'"
তাহলে আমারই শক্তি বেশি,Then I am the stronger one.
কিন্তু আমি পেট আমিই খাবার হজম করি,But I digest my own food.
তোমার পুষ্টি যোগাই হাঁটতে পারবি,"I will provide you with nourishment, and you will be able to walk."
পা বলল আমি হেঁটে খাবার করে এনে দেই,"The leg said, ""I can bring food by walking."""
এজন্য আমরা খাবার পাই,That's why we get food.
পেট বলল আমিই তো তোমাকে হাঁটার শক্তি দেই,"The stomach said, ""It is I who give you the strength to walk."""
আমি যদি শক্তি না দেই তোমার কি হবে,What will happen to you if I don't give you strength?
তুই কি করবি তখন অ্যাঁরে হ,"What will you do then, huh?"
চোর একটা বাড়িতে চুরি করতে এসেছে,A thief has come to steal from a house.
একটি মোরগ ছাড়া আর কিছু পায় না,He doesn't get anything besides a rooster.
মোরগ নিয়ে যখন সেটি জবাই করতে গেল,When he went to slaughter the chicken.
তখন তাকে মোরগ কাকুতিমিনুতি করতে লাগে,Then it feels like the rooster is pleading with him.
আমাকে ছেড়ে দাও ভাই আমি উপকার করি,"Leave me, brother, I am doing good."
তারা বেশি কাজ করার সুযোগ হবে,They will have more opportunities to work.
ভোরের আগেই আমি ডেকে তাদের জাগিয়ে দেই,I wake them up before dawn.
একটা চোর বলল এজন্য তো তোকে আগে খতম করা আমার বেশি দরকার,"A thief said, 'That's why eliminating you is more important to me than anything else.'"
তারা জাগলে চুরি করার সুযোগই নেই,There's no opportunity to steal while they are awake.
সংসার চালানোর জন্য অনেক মুরগি রাখে,She keeps many chickens to run the household.
মুরগি যে ডিম দেয় বাজারে নিয়ে যায়,The hen that lays eggs takes them to the market.
যে টাকা পায় তাই দিয়ে মোটামুটি সংসার চালায় নিতে হয়,One manages the household with whatever money they earn.
গুপ্তধনের মধ্যে কি আছে,What is inside the treasure?
মনে রাখবে গুপ্তধন শুধু তোমার জন্য,"Remember, the treasure is only for you."
অন্য কার হাতে যদি এই গাঞ্জনামা বা গুপ্তধন যায়,If this map or hidden treasure falls into other hands...
তাহলে কাজে লাগাতে পারবে না,Then you won't be able to use it.
চেষ্টা করবে চুপিচুপি কাজ করতে,Try to work quietly.
কেউ যেন টের না পায় দেখিস,Make sure no one finds out.
কাগজের টুকরো খুঁজে পেলে একটা নিরিবিলি জায়গায় যাবি,"If you find the piece of paper, go to a quiet place."
জায়গায় গিয়ে নকশা দেখবে,Go to the location and see the design.
কাজে তোমার সাথে রাখবে না,Don't involve me in your work.
অলস আর গরিব যুবকের ঘুম ভেঙ্গে গেল,The lazy and poor young man woke up.
অনেক আনন্দিত সে,She is very happy.
রাতের বেলায় অলস যুবক গিয়ে প্রতিবেশির দোকানে,"At night, a lazy young man went to the neighbor's shop."
গভীর মনোযোগের সাথে স্বপ্ন দেখায়,Dream deeply.
সেই পুরাতন ছেঁড়া কাগজ খুঁজতে লাগে,"I feel like searching for that old, torn paper."
দোকানদারকে হাসি ঠাট্টায় মগ্ন রেখে সে গাঞ্জনামা খুঁজে পেয়েছে,"While keeping the shopkeeper engaged in laughter and banter, he found the ganjanama."
জামার ভিতরে লুকিয়ে ফেলল,Hid it inside the clothes.
গাঞ্জনামাত লেহা ছিল,There was writing on the cannabis leaf.
শহরে বাহিরে প্রাচীন একটা কেল্লা আছে,There is an ancient fort outside the city.
একবারে ধ্বংস হয়ে গেছে,Completely destroyed.
কেল্লার পিছনে একটা গম্বুজ আছে,There is a dome behind the fort.
এখানে যেয়ে কেল্লার হয়ে থাকতে,Go there and stay at the fort.
ধনুকে একটা তীর লাগিয়ে,Putting an arrow on the bow...
তীর যেখানে যেয়ে লাগে সেখানে খনন করবে,Dig where the arrow lands.
বাদশা আদেশ করল যুবককে তার সামনে হাজির করতে,The king ordered the young man to be brought before him.
বাদশা মরতফোয়ারে পুঁছার গরিল,Badsha Mortuza's poor condition.
ঘটনা কী গাঞ্জনামা পেয়েছো,What happened? Did you receive the notice?
গাঞ্জনামা আর মাটিতে গুপ্তধন পেয়েছো দিতে হবে,You have to give up the ganja and the hidden treasure found in the ground.
যুবক অনেক ভয় পেয়েছে,The young man is very scared.
ঘটনা বাদশারে খুলি হইলো,The incident opened the eyes of the king.
হাতে দিয়ে কসম করে বলে,"Swearing on their hands (literally: giving an oath with their hands), or more idiomatically, 'I swear on my life', 'I give my word', or 'I assure you'."
আমি কানাকড়িও পাই নি,I didn't get a single penny.
এই গাঞ্জনামা আসলে ভুয়া চ্যাঁই হইলো,This confession is actually a false claim.
বাদশা মনে করে যুবক ভুল কথা বলে,The king thinks the young man is speaking falsely.
আদেশ করল যুবককে তল্লাসি করার জন্য,He ordered the young man to be searched.
গুপ্তধন কোথায় সন্ধান পেলে তাকে বলতে,Tell me if you find out where the hidden treasure is located.
তারা যুবকের ঘর তল্লাশি করল কিন্ত কিছু নেই,"They searched the young man's room, but found nothing."
বাদশা তাকে ছেড়ে দেওয়ার আদেশ করল,The king ordered his release.
আদেশ করল উন্নত তীর কামান হাজির করার জন্য,He ordered to bring forth the advanced arrow cannons.
বাদশা কিছুই পায় না,The king gets nothing.
বাদশা একটা একটা করে ছয় মাস পার করল,"Badsha spent six months, one month at a time."
গুপ্তধন কাজ হয় না,Treasure hunting doesn't work.
এলাকায় হেঁটে যাওয়ার জায়গা নেই,There is no place to walk in the area.
কাজ কঠিন হয়ে গেছে,The work has become difficult.
বাদশা হতাশ হয়ে পড়েছে,The king is disappointed.
ডেকে এনে মারবে তোকে,I will call you over and beat you.
যুবক আসার সময় বাদশার কথা বলল,The young man spoke about the king when he arrived.
গাঞ্জনামা তার দিকে ছুড়ে মারি,I threw the ganja at him.
এটি হল তোর ভুয়া গাঞ্জনামা,This is your fake horoscope.
ছয় মাস আমার মূল্যবান সময় নষ্ট হল,Six months of my valuable time were wasted.
যুবক বলল মহারাজ আমি তো বলছি,"The young man said, ""Your Majesty, I am telling you..."""
আমাকেও প্রতারিত করেছে,They have deceived me too.
তুই জানিস এটি একটা ভুয়া গাঞ্জনামা,You know this is a fake rumour.
বাদশা বলল তোর গাঞ্জনামা নিয়ে এখানে থেকে,"Badsha said, ""Stay here with your belongings."" "
যদি গুপ্তধন পাস সেটি তোর,If the password to the treasure is yours...
আমাকে দিতে হবে না তোর,I don't have to give you anything.
কিন্তু যদি না পাস হতাশ হবে না,"But if you don't pass, don't be discouraged."
যে গুপ্তধন কষ্ট ও শ্রমে সাথে আসে,The treasure that comes with hardship and labor.
যুবক গাঞ্জনামা নিয়ে ঘরে আসে,The young man brought the marijuana home.
রাতে আমার কাছে কান্নাকাটি করে,She cried to me at night.
তার কথা আর কি বলবো,What more can I say about him/her?
ও খোদা আমাকে ক্ষমা কর,"Oh God, forgive me."
আমি লোভ করে ফেলেছি,I have succumbed to temptation.
বিনাশ্রমে তোমার কাছে গুপ্তধন চেয়েছি,I have asked for hidden treasure from you without effort.
লোক স্বপ্নে দেখে আমাকে,The man sees me in his dream.
কেন সে গুপ্তধন পায় না,Why doesn't he find the treasure?
তুই গুপ্তধনের জন্য কাজ করিস,You work for the treasure.
এজন্য গাঞ্জনামা ভাল করে,"Therefore, thoroughly investigate the matter."
বুঝতে হবে কাজ করতে,One must understand in order to work.
তোমাকে তো আমার বলার কথা,I was supposed to tell you.
ভাল করে টেনে লাগিয়ে,Pull it tight and fasten securely.
তীর কামানে লাগিয়ে,Attach the arrow to the bow.
তীর মাটির পড়েছে,The arrow has fallen to the ground.
আমরা কোথায় ঘুরবো কালকে,Where shall we go tomorrow?
গাঞ্জনামা হাতে নিয়ে ভাল করে দেখলে,Examine the ganjanama carefully.
স্বপ্নে দেখাত আমাকে,It showed me in a dream.
গাঞ্জনামায় কোথায় তীরের কথা নেই,"In Gajnama, there is no mention of arrows."
সে গেল পুরাতন কেল্লার পিছনে,She went behind the old fort.
তীর তার পায়ের মাটিতে পড়েছে,The arrow fell to the ground at his feet.
সে অনেক গুপ্তধন পেয়েছে,He found a lot of treasure.
অলস ছেলে গুপ্তধন গল্প শুনি,The lazy boy listens to treasure stories.
নিজের ভিতরে গুপ্তধন খুঁজে বাহির করা,Discovering hidden treasures within oneself.
প্রাচীনকালে এক বাদশা ছিল বুদ্ধিমান,"Once upon a time, there was a wise king."
তার ছিল অনেক চাকর,He/She had many servants.
চাকরকে অত্যাচার করে রাজা,The king oppresses his servant.
একটা বুদ্ধিমান চাকরের ভাল লাগছে না,A clever servant is not feeling well.
একটা রাতে সে গেল প্রাসাদ থেকে,"One night, he/she went from the palace."
কিন্তু কতদূর যাবে সে,But how far will he go?
প্রাসাদের চারদিকে তো পাহারা দেয়,There are guards patrolling around the palace.
রাজা সেপাই হাতে খবর দিয়েছে,The king has sent word with the soldiers.
সে কারণে গোলাম দৌড় দিয়েছে,"Therefore, Golam ran away."
একটা জায়গায় গিয়ে দেখলাম,I went to a place and saw...
অল্প সময় রাজার কানে খবরটা গেলে,If the news reached the king in a short time...
রাজা অনেক রাগ করে খবর শুনে,The king heard the news with great anger.
আদেশ করে সেপাই একটা দল,Order the soldiers to form a group.
গোলামকে খুঁজে বাহির করে তার সামনে হাজির করে,Find Golam and bring him before me.
আমার যা আছে আমার দরকার আর সুন্দর,"What I have is what I need, and it is beautiful."
আলাদা করে পছন্দ নেই,I don't like it separately.
আমার হবে চাহিদা পূরণ হবে,My needs will be fulfilled.
সেটি সুন্দর সেটি প্রিয়,"That is beautiful, that is beloved."
কথা শুধু আমি আমরা না সবার সাথে মিলে যাবে,"The words should resonate with everyone, not just with us."
দিনের শেষে ভাল আছি তো,Are you doing well at the end of the day?
তখন তোমরা স্কুলে পড়,You were in school then.
গ্রীষ্মকাল ছুটি শেষে পাবনা থেকে নগরবাড়ি হয়ে ঢাকা আসছি,I am coming to Dhaka from Pabna via Nagarbari after summer vacation.
আমাদের গাড়ি যখন নগরবাড়ি ঘাটে এসে থামে,When our car stopped at Nagarbari Ghat.
ফেরী আসতে তখন অনেক দেরি হবে,The ferry will be late.
আমি বাস থেকে নেমে নদীর কূল ধরে যাই,I got off the bus and walked along the riverbank.
তখন ফেরী ঘাটে বেশি যানজট ছিল না,There wasn't much traffic at the ferry terminal then.
লোক জনের এত ছিল না,There weren't many people around.
খুব ভাল লাগছে ধারে,It feels very good nearby.
