Chittagong,Noakhali,Sylhet,Mymenshingh,Target,anger,contempt,disgust,enjoyment,fear,sadness,surprise
এরিম্মাত জুলুমর হারণে একজন ভালা রাস্টনায়কো ঘিনিত হয় যায়,এইক্কা জুলুমের লাই এক্কান লিডাররেও মানুষ সাইতো হারে না,এসব জুলুমের লাগি একজন ভালা রাষ্ট্রনায়ক ও ঘৃনিত হই যায়।,এইতা জুলুমের কারনে একজন ভালো রাষ্ট্রনায়ক ও ঘৃনিত হয়া যায়।,Neutral,1,1,1,0,0,0,0
"বেয়াক জাগাত উধা বিম্পির মানুষ জড়িত থাহে।আই ভাবির ইতারা হমতাত আইলি কি অইবু
বিলাইর তুন বাঘ বানাইবার লাই আওয়ামীলীগ উজ্ঞা ধইন্যোবাদ পাইত পারে।",বেক জাগাত শুধু বিএনফির লোক জরিত্নথা। আই ভাইবতাসি হিয়ারা ক্ষমতাত আইলে কি হইব। বিল্লাইএর তুন বাঘ বানানর লাই আওয়ামিলিগ উজ্ঞা ধইন্যবাদ পা,সব জায়গাত শুধু বিএনপির লোক জড়িত থাকে। আমি ভাবছি এরা ক্ষমতায় আইলে কিতা হইবো। বিড়াল থেকে বাঘে রুপান্তর করার জন্য আওয়ামী লীগ একটা ধন্যবাদ পেতেই পারে..,.বেক জায়গাত খালি বিএনপির লুক মিইল্লা থাহে। আমি ভাবছি হেরা ক্ষমতার আইলে কী অইবো। বিড়াল তে বাঘে রুপান্তর করার লাইগ্গা আওয়ামী লীগ একটা ধন্যবাদ পাইতেই পারে.,Political,0,1,0,0,0,0,0
জর্জ মিয়ার নাটল মঞ্চস্থ,জজ মিয়ার নাটক বানাইন্না,জর্জ মিয়ার নাটক মঞ্চস্থ,জর্জ মিয়ার নাটক মঞ্চস্থ,Neutral,0,1,0,0,0,0,0
"দে দে মামলা দে,সময় আরারো আইবু","দে দে মামলা দে, সময় আংগো ও আইব","দে দে মামলা দে, সময় আমরার ও আইবো","দে দে মামলা দে, সময় আমারার ও আইবো",Political,1,0,1,0,0,0,0
"সরকার অর বেয়াক মিক্কা দি লাভ,হোনো ঘটনাত আতুর অইলি মরি গেইলি, বিরোধী পক্ষরে ঘায়েল গরন অর সোজা পন্থা","সরকারের বেক দিকে লোভ, কোনানে আহত নিহত হইলে, বিরোধী ফক্ষের নাম হালাইদে সহজে","সরকারর সব দিকে লাভ, কোন ঘটনায় আহত নিহত হইলে, বিরোধী পক্ষরে ঘায়েল করা সহজ রাস্তা","সরকারের সব দিকে লাভ, কোন গটনায় আহত নিহত অইলে, বিরোধী পক্ষকে ঘায়েল করা সহজ পন্থা",Political,0,1,1,0,0,0,0
এ দুশাসন আল্লাহ মানি লইতু ন,এই জুলুম আল্লাহ মাইনতোনো,এই দূঃশাসন আল্লাহ মানতো নায়,এই দূঃশাসন আল্লাহ মাইন্না নিতো না। ,Religious,1,0,1,0,0,0,0
"কট্টা মানুষ এহন আর মানুষ নায়,কুত্তার বাইচ্চা অই গিয়ি ইয়ান অর প্রমাণ ইভা","কিছু মানুষ অন মানুষ নাই, কুত্তার বাইচ্চা হই গেসে তার ফ্রমান এইটা","কিছু মানুষ এখন মানুষ নাই, কুত্তার বাচ্চা হই গেছে তার প্রমান এইটা","কিছু মানুষ এহন মানুষ নাই, কুত্তার বাচ্চা হয়াগেছে -গা  হের প্রমান এইডা",Neutral,1,0,1,0,0,0,0
মিছা হথা,মিসা কতা,মিছা মাত,মিছা কতা,Neutral,0,0,1,0,0,0,0
বিম্পির লই এগিন গত এক যুগ ধরি অই আইয়ের দে,বিএনফির লগে এগিন এক যুগ ধরি হই আইতাসে,"বি এন পি লগে ইতা গত একযুগ ধরি হই আইরো,",বি এন পি লগে এইতা গত একযুগ ধইরা অইয়া আইতাছে ,Political,0,0,0,0,0,1,0
বেয়াক জাগাত দেখির যি বিম্পি তও বলে প্রধানমন্ত্রী শক্ত বিরোধী দল ন দেখের,"বেক্কানে সাই বিএনফি, তারপরো বলে প্রধানমন্ত্রী বিরোধী দল সা না",সব জায়গায় দেখছি বি এন পি এরপরেও নাকি প্রধান মন্ত্রী শক্তিশালী বিরোধী দল দেখতে পান না,বেক জাগাত দেখছি বি এন পি তবুও নাকি প্রধান মন্ত্রী শক্তিশালী বিরোধী দল দেখবাএ পা না,Political,0,1,0,0,0,0,0
"আর দাদা রেও আসামী দিবাক,ইভা ১৫বছর আগে মরি গেইল","আঁর দাদারেও আসামি দিয়েন, হেতেনে হোনেরো বছর আগে মরি গেসেন",আমার দাদারেও আসামী দিয়েন তাইন ১৫ বছর আগে মারা গেছেন,আমার দাদারেও আসামী দিয়েন হেইলা ১৫ বছর আগে মারা গেছে,Political,0,1,1,0,0,0,0
ইয়ান কেন গরি অইলু?,ইয়ান কেম্নে অইসে?,ইতা কেমনে হইল??,এইডা কেম্নে অইল??,Neutral,0,0,0,0,0,0,1
দেশত এতো কাহিনি থাইকতে মানুষ নাটক সিনিমা কিল্লাই চায় ন বুঝির। আর পরিচালক উন ই বা এত নাটক সিনিমা কিল্লাই বানার?,দেশে এত কাহিনি থাইক্তে মানুষ নাটক সিনেমা কিল্লাই সা বুজিনা। আর ডিরেক্টররা কিল্লাও এত নাটক সিনেমা বানা?,দেশে এত্ত এত্ত কাহিনি থাকতে মানুষ নাটক সিনেমা কেনে দেখে বুঝলাম না৷ আর পরিচলকরাই বা কেনে অত নাটক সিনেমা বানায়?,দেশে অত্ত অত্ত কাহিনি থাকতে মানুষ নাটক সিনেমা কেরে দেহে বুঝলাম  না৷৷ আর পরিচলকরাই বা কেরে অত নাটক সিনেমা বানা?,Neutral,0,1,1,0,0,0,0
ইয়ান নতুন কিছু ন। মহাসচিব অরে ন দে যে ইয়ান ইতো বেশি,"ইয়ান নতুন কিছু নো, মহাসচিবরে যে দেনো ইয়ানি বেশি",ইতা নয়া কিছু নয়। মহাসচিব রে দেয় নাই ওটাও তো বেশী।,এডা নতুন কিছু না। মহাসচিব রে দেয় নাই এডাই তো বেশী।,Political,0,1,1,0,0,0,0
বিম্পি ফালতু দল,বিএনফি ফালতু দল,বিএনপি ফালতু দল,বিএনপি ফালতু দল,Political,1,0,1,0,0,0,0
"এহন কেউ যদি কয় দেশ চালায় শেখ হাসিনা আর হমতা খালাদা জিয়ার হাতত,তইল ইয়ান অইবু দে পল অর প্রলাপ","অন কেউ যদি ক দেশ চালা শেখ হাসিনা আর ক্ষমতা বেগম খালদা জিয়ার হাতে, তাইলে ইয়ান হইব হাগলের কতা","এখন কেউ যদি কয় দেশ চালায় শেখ হাসিনা আর ক্ষমতা বেগম খালেদা জিয়ার হাতে, তাহলে ইতা হইব পাগলর প্রলব।",অহন কেউ যদি কয় দেশ চালায় শেখ হাসিনা আর ক্ষমতা বেগম খালেদা জিয়ার হাতেতাহলে এটা হবে পাগলের প্রলব।,Political,0,1,0,0,0,0,0
জামাত শিবির আর হেফাজতর ইন্ধন আচে,জামাত শিবির আর হেফাজত এটার পিছনে আসে,জামাত শিবির আর হেফাজতের ইন্ধন আছে।,জামাত শিবির আর হেফাজতের ইন্ধন আছে।,Political,0,1,0,0,0,0,0
সুন্দর উদ্যোগ। এত ঝামেলা গরি লাভ আচে না। নেতা অলর সিরিয়াল অনুযায়ী আসামীও দিবান সিরিয়ালি,"সুন্দর সিস্টেম, এত ঝামেলা করি লাব আসে। নেতাগো সিরিয়াল অনুযায়ী আসামি আসামি ও দিবেন সিরিয়ালি",সুন্দর উদ্যোগ। অতো ঝামেলা করিয়া লাভ আছে নি। নেতারার সিরিয়াল অনুযায়ী আসামী ও দিব সিরিয়ালি,সুন্দর উদ্যোগ। এতো ঝামেলা কইরা লাভ আছে। নেতাগরে সিরিয়াল অনুযায়ী আসামী ও দিবেন সিরিয়ালি,Political,0,1,0,0,0,0,0
আওয়ামী লীগ সরকার কি পাইল্লা তুলসীপাতা নাকি?,আউমিলিগ কি ধুইন্না তুলসীহাতা নে?,আওয়ামী লীগ সরকার কীতা ধোঁয়া তুলসীপাতা নি,আওয়ামী লীগ সরকার কী ধোঁয়া তুলসীপাতা নাকি,Political,1,0,1,0,0,0,0
ইয়ানো কি বিশ্বাস গরন পরিবু না?,ইয়ানি বিশ্বাস করন লাইগব?,ওটা বিশ্বাস করা লাগব?,এডাই কি বিশ্বাস করুন  লাগবো?,Neutral,1,0,0,0,0,0,0
"আই আগেই হইলাম,বিম্পির হাত আচে",আঁই আগেই কইসি বিএনফির আত আসে,আমি আগেও কইছি বিএনপির হাত আছে।,আমি আগেই বলছি বিএনপির হাত আছে।,Political,0,1,0,0,0,0,0
মারামারি গইরলু আওয়ামীলীগ আর আসামি অইল দি বিম্পি বাহ কি তামশা!,মারামারি করলো আওয়ামীলীগ আর আসামী হলো বিএনপি বাহ কি তামাশা!!!,মারামারি করলো আওয়ামীলীগ আর আসামী হইলো বিএনপি বাহ কি তামশা!!!,মারামারি করলো আওয়ামীলীগ আর আসামী হলো বিএনপি বাহ কি তামাশা!!!,Political,0,1,1,0,0,0,0
"কত্তর হাসানির হথা,ইতালির উজ্ঞা মানুষ দু বছর আগে যে কইলু....সিস্টেম। ইভা কি ভুল কইল?","কতটা হস্যকর কথা, ইতালি প্রবাসি এক লোক দুই বছর আগে যে কথা কইলো......সিস্টেম। হতে কি ভুল কইছেনে?","কতটা হাস্যকর কথা, ইতালি প্রবাসী এক লোক দুই বছর আগে কইল............ সিষ্টেম। উনি কিতা ভূল কইছে???","কতডা হাস্যকর কতা, ইতালি প্রবাসী এক লুক দুই বছর আগে যে কইলো,............ সিষ্টেম। হেইলা কি ভূল কইছে??",Neutral,1,1,0,0,0,0,0
"মারহাবা,তইলি ইতারা তিনজন উন হারা?","মারহাবা, তবে ওরা তিনজন কারা??? মারহাবা, তবে হেতেরা তিনজন কারা???","মারহাবা, তবে ওরা তিনজন কারা???",".মারহাবা, তাইলে হেরা তিনজন কারা???",Neutral,0,1,0,0,0,0,0
ইয়ান ঠিক আচে। বিম্পির বেয়াজ্ঞুনরে ধরক! সামনপ নির্বাচন ত,এইবার ঠিক অইছে বিনপির বেখেরে ধরিআলাখ হোক্কানে(সামনে) নির্বাচন তো,ইতা ঠিক আছে! বিএনপির সবরে ধরুক!সামনপ নির্বাচন তো,এইডা ঠিক আছে! বিএনপির বেহেরেই ধরুক!  সামনপ নির্বাচন তো,Political,0,1,0,0,0,0,0
"এসব ঘটনা ইন পর্যবেক্ষণ গরি বর্তমান সময়র সন্ত্রাসী হামলার নিহত মানুষ অর আত্নীয় স্বজন অক্কল কর য,কার কাছে বিচার চাইয়ুম?",গটনা এগিন দেই অনকা সন্ত্রাসীগো হামলায় নিহত ব্যক্তির আত্তিয় স্বজনরা ক কার কাছে বিছার চাইবো। মামলাও কাইত্তামনো,ইসব ঘটনা দেখিয়া অখন সন্ত্রাসী হামলায় নিহত ব্যক্তির স্বজনরা কয় কার কাছে বিচার চাইবো? মামলাও করবো না,এইতা ঘটনা পর্যবেক্ষণ কইরা বর্তমান সময়ে সন্ত্রাসী হামলায় নিহত ব্যক্তির স্বজনরা কয় কার কাছে বিচার চাইবো? মামলাও করবো না,Political,1,0,0,0,0,0,0
"ইভা অইল দি আওয়ামী আইন,আওয়ামী প্রশাসনর শাসনব্যবস্থা! এতোল্লাই সাধারণ মানুষ এহন পোয়া মরার, জামাই মরার বিচার ন চার। কারণ খুন গরে একজন আর দোষ পড়ে আরেকজন অর উদ্দি!"," ইয়ান হইতাসে আওয়ামী আইন, আওয়ামী প্রশাসনের শাসনব্যবস্থা!! ইয়াল্লাই সাধারণ মানুষ অন হোলাইনশাইন মারনের বা ব্যাডা মারনের বিচার চা না। কারন মারে একজন আর দোষ হ আরেকজনের","ওটাও হইল আওয়ামী আইন, আওয়ামী প্রশানের শাসনব্যবস্থা!! এর লাগি সাধারণ মানুষ এখন সন্তান হত্যার বা স্বামী হত্যার বিচার চায় না।কারণ খুন করে একজন আর দোষ পড়ে আরেকজনের উপর!!",এইডাই অইতাছে আওয়ামী আইন আওয়ামী প্রশানের শাসনব্যবস্থা!! এই লাইজ্ঞাই সাধারণ মানুষ অহ্ন সন্তান হত্যার কিংবা স্বামী হত্যার বিচার চায় না।কারণ খুন করে একজন আর দুষ পড়ে আরেকজনের উপ্রে,Political,0,0,1,0,0,0,0
"বাহ অসাধারণ!  বিম্পি এহন সহজ টার্গেট। সময় অবশ্যই আইবু এহন যেরোম বিম্পি সহজ টার্গেট, এত্তে এরোম আইবু আওয়ামী লীগ সহজ টার্গেট অইবু,দোষ ন গরিও দোষী অইবু উদা সময় অর ব্যাপার মাত্র","বাহ কি সুন্দর! বিএনফি অন সজ টার্গেট।  সময় অবশ্যই আইব অন যেরম বিএনফি সজ টার্গেট, একটা সময় এরম আইব আওয়ামী লীগ এরম সজ টার্গেট অইব দোষ না করিও দোষী অইব শুধু সময়ের ব্যাপার খালি","বাহ অসাধারণ! বিএনপি এখন সহজ টার্গেট।সময় অবশ্যই আইবো এখন যেলা বিএনপি সহজ টার্গেট, একটা সময় আইবো আওয়ামী লীগ ইলা সহজ টার্গেট হইবো দোষ না করিয়াও দোষী হইবো শুধু সময়ের ব্যাপার মাত্র।","বাহ অসাধারণ! বিএনপি অহন সহজ টার্গেট। সময় অবশ্যই আইবো এহন যেরুকম বিএনপি সহজ টার্গেট, একটা সময় এইরুম  আইবো আওয়ামী লীগ এরকম সহজ টার্গেট হবে দোষ না কইরাওও দুষী অইব খালি সময়ের ব্যাপার মাত্র",Political,1,0,1,0,0,0,0
ফেসবুকবাসীর আন্দাজ হাছা প্রমাণ অইয়ি। ধন্যবাদ এরিম্মাত এক্কান মামলা গরিবার লাই হাসান মাহমুদ অর পক্ষর তুন লাল সালাম,ফেসবুকবাসীর অনুমান সত্য প্রমাণ হইছে ধন্যবাদ এইক একটা মামলা করার লাই হাসান মাহমুদ এর হক্কত্তেন সালাম,ফেসবুকবাসীর অনুমান সত্য প্রমাণ হইছে ধন্যবাদ এমন একটা মামলা করার জন্য হাসান মাহমুদ এর পক্ষ থাকি লাল সালাম,ফেসবুকবাসীর অনুমান সত্য প্রমাণ অইছে ধন্যবাদ এইরুম একটা মামলা করার জন্য হাসান মাহমুদ এর পক্ষ থাইক্কা লাল সালাম,Political,0,1,0,0,0,0,0
জনগণ এবিরা খুশী অইয়ারে নৌকাত ভোট দিবু..আর এডিসি হারুনর পদোন্নতি দিবার আহব্বান গরিবু,মেইনষে এইবার খুশি অই নৌকায় ভোট দিব... আর এডিসি হারুনেরে বড্ডা পদে দেয়ার কথা কইবো,জনগন এবার খুশি হইয়া নৌকায় ভোট দিব...আর এডিসি হারুনর পদন্নোতি দেওয়ার লাগি আহব্বান করব,"জনগন এইবার খুশি অইয়া নৌকায় ভোট দিব,,আর এডিসি হারুনের পদন্নোতি দেওয়ার আহব্বান করবো",Political,0,1,0,0,0,0,0
"আরাও জাইনতাম,তারেক রহমান পরিকল্পনাকারী আর জিয়াউর রহমান বাস্তবায়নকারী, এরিম্মাত নেক্কারজনক হামলার।তাড়াতাড়ি গ্রেফতার গরি বিচারর মুখোমুখি গরন পরিবু","আনডাও জাইমতাম তারিক্কা পরিকল্পনা কইচ্ছে আর জিয়াউর রহমান বাস্তবায়ন কইচ্ছে, এসব নেক্কার জনক হামলায়। তাতাই গ্রেপ্তার করি বিচারের মুখামুখি আইনো অইবো।","আমরাও জানতাম তারেক রহমান পরিকল্পনাকারী আর জিয়াউর রহমান বাস্তবায়ন কারী, এসব নেক্কারজনক হামলায়। দ্রুতই গ্রেফতার করে বিচার করতে হইব।","আমরাও জানতাম তারেক রহমান পরিকল্পনাকারী আর জিয়াউর রহমান বাস্তবায়ন কারী, এসব নেক্কারজনক হামলায়।  দ্রুতই গ্রেফতার কইরা বিচারের মুখোমুখি করুন লাগবো।",Political,0,1,0,0,0,0,0
পইলাই মামলা দুর্বল গরি ফেলাইয়ি। এ মামলা ত কোর্ট অত অভিযোগ প্রমাণ অইতু ন। আর দোষী অলও সাজা পাইতু ন।,শুরুতেই মামলা দূর্বল করিয়ালাইছে। এই হামলা তো কোর্টে অভিযোগ প্রমান অইতোনো। আর দোষীরাও শাস্তি হাইতোনো,ফয়লাও মামলা দূর্বল করি ফালাইছে। এই হামলা তো কোর্টে অভিযোগ প্রমান হইবো না। আর দোষীরাও শাস্তি পাইতো না।,পইলাই মামলা দূর্বল কইরালছে । এই হামলা ত কোর্টে অভিযোগ প্রমান অইবোনা। আর দুষীরাও শাস্তি পাইব না।,Political,1,0,0,0,0,0,0
এ হবর দিতে এতক্ষন লাগে? ইয়ান ত পইলা দিন অর তুন জানা আছিল। আরার দেশ অত কোনো কিছু অইলি শেষে কি অইত পারে ইয়ান ত আর মত বিয়াজ্ঞুনে জানে।,এই খবর দতে এতক্কন লাগে ইয়ান তো হেই হইলা দিনেত্তেন জানা আছিলো আঙ্গোদেশে কোন কিছু অইলে শেষ কি অইতা হারে হিয়ান আর মতন বেখে জানে,"ই খবর দিতে অতোসময় লাগে নি,ইখান তো পয়লা দিন থাকি জানা আছিল যে আম্রার দেশো কিচ্ছু অইলে হেষ-মেষ কিতা অইতো পারে ইতা তো আমার লাখান হক্লেউ জানে",এই খবর দিতে এতক্ষণ লাগে এডা তো হেই প্রথম দিন থাইক্কা জানা আছিন আমার দেশে কুনু কিছু অইলে শেষে কি অইবার পারে তা তো আমার মত বেহেই জানে।,Neutral,0,1,0,0,0,0,0
অবশেষে আসামি পা গিয়ি! হা হা হা,অবশেষে আসামি পাওয়া গেল!!! হা হা হা আবেশেষে আশামি হা গেছে!!! হা হা হা,শেষে আসামি পাওয়া গেল!!! হা হা হা,অবশেষে আসামি পাওন গেল!!! হা হা হা,Political,0,1,0,0,0,0,0
ভাই আর হতো আসাইবেন?অনরা ক্ষমতাত আইনর পরর তুন আসির দি,"ভাই আর কত আসাইবেন, আপনারা সপই ক্ষমতায় আইয়োনের হরেত্তেন আইসতাছি","ভাই আর কত হাসাবায়, আপনারা সেই ক্ষমতায় আওয়ার পর থেকে হাসতাছি",ভাই আর কত হাসাইবেন আপনারা সেই ক্ষমতায় আসার পর থাইক্কা হাসতাছি,Political,0,1,0,0,0,0,0
"মির্জা ফখরুল, রিজভী বেয়াজ্ঞুন অরে আইজু ন ধরে যে ইয়ানি বোত কিছু",মির্জা ফকরুল রিজভী বেখে অনো ধরেনো এই মেলা,মির্জা ফকরুল রিজভী সব সবরে এখন ও ধরেনি এই মেলা,মির্জা ফকরুল রিজভী সব সবাইরে এহন ও ধরছেনা এই মেলা,Political,0,1,0,0,0,0,0
যাক অবশেষে আসল হারণ বাইর অইলু। মিলি গিয়ি। এহন সাজা পাইলাম গো,যাক অবশেষে আসল কারণ উদঘাটন করা অইছে। আই আগেই এইক ধারণা কইচ্ছিলাম। মিলি গেছপ। অনকা শান্তি হাইলাম গো।,যাক শেষে আসল কারণ বার করা গেলো। আমি আগেই এটা ধারণা করছিলাম। মিলি গেলো। এখন শান্তি পাইলাম গো।,যাকগা শেষ-মেষ  আসল কারণ উদঘাটন করুন গেলো। আমি আগেই এটা ধারণা করছিলাম। মিল্লা গেলো। এহন শান্তি পাইলাম গো।,Neutral,0,1,0,0,0,0,0
 বোত সুন্দর আইন বাংলাদেশ অত নোবেল দোন উচিত এসব পুলিশ অলরে,মেলা সুন্দর আইন বাংলাদেশে নোবেল দুক এইক হুলিশ কে.,"বাক্কা সুন্দর আইন বাংলাদেশ এ
নোবেল দেয়া হোক ওই সব পুলিশ রে",অনেক সুন্দর আইন বাংলাদেশ এ নোবেল দেয়া হোক ওই সব পুলিশ রে,Political,0,1,0,0,0,0,0
অসাধারণ জোকস আছিল। বোত আইসসি এই নিউজ চাইবার পর,অসাধারণ জোকস আছিলো প্রচুর আইসছি এই নিউজ দেখার হর।,"ভালা জোকস আছিল
প্রচুর হাসচি ই নিউজ দেখার পর",অসাধারণ জোকস আছিন প্রচুর হাসছি এই নিউজ দেহার পর,Neutral,0,1,0,0,0,0,0
দেশ অর মাইনষরে তারা যে কি মনে গরে? মনে গরে যে মাইনষে কিছু ন বুঝে,দেশের মানুষরে তারা যে কি ভাবে যে মানুষ কিছুই বুজেনা,"দেশের মানুষরে তারা যে কিতা ভাবে
ভাবে  মানুষ কিছুই বুঝে না",দেশের মানুষরে হেরা যে কি ভাবে ভাবে যে মানুষ কিছুই বুঝে না,Political,1,0,1,0,0,0,0
"এরিম্মাত ই অনর দরকার, নইলি সামনে উদাহরণ হিসেবে জনগণ কি দিবু?",এইক অন দরকার নইলে সামনে উদহারন হিসেবে জনগন কি দিবে,ইটাই হওয়া দরকার নইলে সামনে উদাহরণ হিসেবে জনগন কিতা দিব ?,এইরুমডাই  অওন দরকার তা না অইলে সামনে উদাহরণ হিসেবে জনগন কিতা দিব,Neutral,0,1,0,0,0,0,0
অথচ ঘটনার পইলাদি সিসি ক্যামেরাত হন দলর ৩জন অরে বলে দেখা গেইল?,অথচ গটনার সুত্রপাতে সি সি ক্যমেরায় কোন দলের ৩ গারে যেন দে গেছৈ,অথচ ঘটনার সুত্রপাতে সি সি ক্যামেরায় কোন দলের ৩ জন রে যেন দেখা গেলো?,অথচ ঘটনার সুত্রপাতে সি সি ক্যামেরায় কোন দলের ৩ জন রে যেন দেহা গেলো?,Neutral,0,0,1,0,0,0,0
"মারামারি গইরজি ব্যাবসায়ী আর ছাত্র অলে,আসামি অইলু বিম্পি জামাত অর নেতা হর্মী অল",হিডাহাডি কইল্লো ব্যানসায়ি আর ছাত্ররা আর আসামি অইছে বিনপি জামায়াতের নেতা কর্মিরা,মাইর করছে ব্যবসায়ী আর ছাত্ররা আর আসামি হইর বিএনপি জামায়াতের নেতা কর্মীরা।,মারামারি করছে ব্যবসায়ী আর ছাত্ররা আর আসামি অইতাছে বিএনপি জামায়াতের নেতা কর্মীরা,Political,1,0,1,0,0,0,0
হালার বিনোদন দেক্ষুন....মারামারি গইরলু কারা মামলা খাইলু কারা,"সালার বিনোদন দেখছেন, হিডাহাডি কইল্লো কারা, মামলা খাইলো কারা","সালার বিনোদন দেখছেন.. মারামারি করলো কারা, মামলা খাইলো কারা","সালার বিনোদন দেখছুইন.. মারামারি করলো কারা, মামলা খাইলো কারা",Political,0,1,0,0,0,0,0
আর প্রধানমন্ত্রী শক্ত বিরোধী দল তোয়াইতু লাইজ্ঞি,আর প্রধানমন্ত্রী শক্তি শালি বিরোধী দল টোয়া।,আর প্রধানমন্ত্রী শক্তিশালী বিরোধী দল খুঁজর।,আর প্রধানমন্ত্রী শক্তিশালী বিরোধী দল খুঁজতাছে,Political,0,1,0,0,0,0,0
"দেশ চালার আওয়ামী লীগ সরকার আর আহাম কুহাম গইরলি বেজ্ঞিন গরে বিম্পি,ইন অর মানি হার কি!",দেশ চালায় আওয়ামী লীগে আর আকাম কুকাম অইলে বেগ্গিন করে বি এন পি ইয়ার মানে কার কিয়া?,"দেশ চালায় আওয়ামী লীগ আর আকাম কুকাম হইলে সব করে বি এন পি এর মানে কার
কিতা?",দেশ চালায় আওয়ামী লীগ আর আকাম কুকাম অইলে সব করে বি এন পি এর মানে কার কি,Political,1,1,1,0,0,0,0
বেজ্ঞুনে জানে আগের তুন ইন ই অইবু,বেখে জানে আগেত্তেন এইক অইবো,সবাই জানে আগে থাকি এমন টা হইব,বেহে জানে আগেত্তে এইরুমডা অইব,Neutral,0,1,1,0,0,0,0
অই এলাহাত জামাত নাই না কি?,হেই এলাকায় জামায়াত নাই নাকি।,ঐ এলাকায় জামায়াত নাই নি?,ঐ এলাকায় জামায়াত নাই নাকি?,Political,1,0,0,0,0,0,0
" শহীদ জিয়াউর রহমান ও হবর অর তুন উঢি আইসসিল,ইভার নামে মামলা নইলু কেয়া জাতি জাইনতু চায়","শহীদ জিয়াউর রহমানও কবরেত্তেন উডি আইছিল হেতের নামে মামলা অনো কা, জাতি জাইনতে চাই",শহীদ জিয়াউর রহমানও কবর থাকি উঠিয়া আসছিলা তার নামে মামলা হইলো না কেনে জাতী জানতে চায়,শহীদ জিয়াউর রহমানও কবর থাইক্কা  আসছিল হেইলার নামে মামলা অইলো না কেরে জাতী জানবার চায়,Political,0,1,1,0,0,0,0
তো বাংলাদেশ অত থাহো কেয়া? য গুই যদি বাংলাদেশ অত ভালা ন লায়,তই বাংলাদেশে থাছ কিয়াল্লাই। চলি যা যদি বাংলাদেশে ভালা না লাগে,"তো বাংলাদেশে থাকো কেনে জয়গি ,যদি বাংলাদেশ ভালো না লাগে",তো বাংলাদেশে থাহো কে। যাও গা যদি বাংলাদেশ বালা না লাগে,Neutral,1,1,0,0,0,0,0
জাতি আজিয়া ঠিক বিচার দেখিলু,জাতি সঠিক বিচার দেইখছে আইজ্জা,জাতি সঠিক বিচার দেখতে পাইলো আজ।,জাতি সঠিক বিচার দেখবার পাইছে আইজ।,Political,0,1,0,0,0,0,0
"মানুষ বুঝিত পারে সামনে বিম্পি আন্দোলন গরিবু কইয়ি,শুরু অই গিয়ি খেলা","মেইনষে বুঝতে হারে হোক্কোনে বিনপি আন্দোলন কইরো কইছৈ, শুরু অই গেছে খেলা","মানুষ বুঝতে পারে সামনে,বি এন পি, আন্দোলন করবে বলছে, শুরু হই গেছে খেলা।","মানুষ বুঝবার পারে সামনে,বি এন পি, আন্দোলন করব কইছে, শুরু অইয়া গেছে খেইল।",Political,0,1,0,0,0,0,0
"আসল কথা অইলু কি আরার বিম্পির মধ্যি মিল নাই,যদি আরা উজ্ঞা রে আরুজ্ঞা নেতা মাইনতাম তইলি আরা বোত শক্তিশালী অইতাম,হোনো ষড়যন্ত্র আরা কাছে পাত্তা ন পাইতু,বোত আগেই আরা সরকার পতন গরিত পাইরতাম। আরার মিল নাই বুলি ইতারা সুযোগ লর",আসল কথা কমুনে আঙ্গো বিনপির মধ্যে মিল নেই। যদি আন্ডা একে আপরকে মাইনতাৃ নেতা মাইনতাম এইক ষড়যন্ত্র আঙ্গো কাছে পাত্তাই হাইতোনা বহুত আগেই আন্ডা সরকার হালাই দিতাম হাইত্তাম। আর আঙ্গো মিল নাই বিধায় হেতরা সুযুগটা নিছে,আসল কথা কইতাম নি আমরার বিএনপি'র মাঝে মিল নাই যদি আমরা একজন আর একজন রে নেতা মানতাম তাইলে আমরা অনেক শক্তিশালী হইতাম  এসব ষড়যন্ত্র আমরার কাছে পাত্তাই পাইতো না বহুত আগেও আমরা সরকার ফালাই দিতে পারলাম নে। আমারার মিল নাই দেখিয়া ওরা ই সুযোগটা নের।,আসল কতা কইয়াম কি আমরার বিএনপি'র মতনেই যদি আমরা একে অপররে মানতাম নেতা মানতাম তাইলে আমরা অনেক শক্তিশালী অইতাম এ সকল ষড়যন্ত্র আমাদের কাছে পাত্তাই পেত না অনেক আগেই আমরা সরকার পতন করবাদ পাইতাম আর আমগর মিল নাই বইলা হেরা এই সুযোগটা নিতাছে,Political,0,0,0,0,0,1,0
ইতারার জন্মর লই ও বিম্পির হাত আছে,হেতাগো জন্মের লগেও বিনপির আত আছে,ইতার জন্মর লগে বিএনপির ও আত আছে,হেরার জন্মের লগেও বিএনপির হাত আছে,Political,1,1,1,0,0,0,0
"আই ন বুঝিলাম,বেয়াক জাগাত যদি বিম্পি থাকে তইলি আওয়ামী লীগ কি চুল ফেলা?",আই বুজলামনা বেখ জাগাত যদি বিনপি থা তাইলে আওয়ামী লীগ কি চুল হালাই,আমি বুঝলাম না সব জাগাত যদি বিএনপি থাকে তে আওয়ামী লীগে কিতা চুল ফালায়,আমি বুঝলামনা সব জায়গাত যদি বিএনপি থাহে তাইলে আওয়ামী লীগ কি চুল ফালায়,Political,1,1,1,0,0,0,0
