Sentence,English Translation, Labels
এন্নে তাহলে তোমরা বাসায় যাও,"Well then, you go home.",Narail
নিয়মিত পড়তে থাকো,Keep studying regularly.,Narail
বাবা মা কোয়ানে গেছে,Parents where have gone ,Narail
তুমি জানলিই কইয়ো,Let me know when you learn,Narail
আইজকে রাতে কি রান্না হয়েছে,What did you cook last night?,Narail
তুই কোয়ানে ছিলির এতক্ষণ,Where have you been all this time?,Narail
মোরে ভুলে যেও না,Don’t forget me.,Narail
জাং একনা বেড়ে আসোং,"Come on, let’s go right now",Rangpur
বাড়ির কাম শ্যাষ হরো,finish the homework,Barisal
মুই কি আম্মের ধারে কিছু জিগাইতে পারি,Can I ask something from you?,Barisal
ভালো হবে যদি এইভাবে কামটা চলতে থাকে,It would be nice if the work continued like this.,Narail
মোগো পরিচয় জানতে চান,Want to know our identity,Barisal
জোরে জোরে বাসাত বইছে,The wind is blowing loudly.,Narail
মামা একদিন তোদের বাড়িতে আসি,"Mama, I will come to your house one day.",Narail
আরে মুই তে অবাক হয়া গেছনু,Hey! I'm surprised!,Rangpur
ওয়েবসাইট ডিজাইন করেছিলাম,I designed the website.,Narail
ইবাদত শান্তি প্রশান্তি দেয়,Worship brings peace and tranquility.,Narail
তুই সব কিছু সহজে করবের পাইশ,You can do everything easily.,Rangpur
তারপর হামার বাড়ির সিমনেত তোক দ্যাখো নাই,"After that, I didn’t see you at our house.",Rangpur
আমার এট্টু সময় দেও,Give me a little time.,Khulna
দরজাটা লাগাও,Close the door.,Rangpur
মোগো বাড়ি চাঁদপুর,My home is in Chandpur.,Barisal
তোর কি পছন্দের টিবি শো আছে,Do you have a favorite television show?,Rangpur
এহন কিছুই করার নাই,There’s nothing to do now.,Khulna
একদিন হোনলাম,I heard one day,Barisal
আমার সাথে কিছু কও,Say something to me.,Khulna
ধইন্যবাদ কি উপহার,Thank you! What a gift!,Rangpur
মনটা জুড়িয়ে গেলো,My heart is touched.,Narail
আমাগো বাড়ির পেছনে খাল আছে,"Behind our house, there’s a canal!",Khulna
মোক তোমার বইটা ধার দেন,Lend me your book.,Rangpur
হয় সব সময় সত্যি কথা কয়,He always tells the truth.,Rangpur
মুই বাড়িত যাবার নাইচ্চোম,I am not going home.,Rangpur
কাইলকে খুব ঝড় হয়ছিলো,There was a heavy storm yesterday.,Narail
এখানে থাইয়ে আর লাভ নেই,There's no point in being  here anymore.,Narail
দয়া করে বেশি কথা কয়য়ো না,Please don’t talk too much.,Narail
তুইও আরো চ্যাংড়ি মোক বোদায় তোর দেকপ্যারে মোনায় না,"You are so stubborn,Don't you want to see me",Rangpur
আপনার সাথে কাজ করতি চাই,I want to work with you.,Khulna
মাই ঈদত কি কি কিনি বু,"Mother, what should I buy for Eid?",Rangpur
তোক দেখপের না পায়া মোর জিউ আউলি গেছিল,Not seeing you made my life restless.,Rangpur
গাড়ি চালাতি শুরু অরো,Start driving the car.,Narail
এট্টুআমাকে শুনেন,Listen to me a bit.,Khulna
মনে করি দেকতো একদিন শুননু,I remember seeing it one day.,Rangpur
আইচকে বাষ্ষিকী উদযাপন অরো,Celebrate the anniversary today.,Narail
বাবা বাড়িত নাই,Dad is not at home.,Rangpur
ঘাটে গিয়া দেহবি মাছ আছে,"Go to the landing area, you’ll see fish!",Khulna
সুডোকু পাজল মাইনসিক সুস্থতা বাড়ায়,Sudoku puzzles improve mental health,Narail
এই গানডা মোর প্রিয়,This song is my favorite.,Barisal
তোর জন্য দোয়া করি,I pray for you.,Rangpur
তোর কোন দেশের ফুটবল টিম ভাল্লাগে,Which country's football team is your favorite?,Narail
তুমি একটু অপেক্ষা করো,Wait a little.,Narail
মাথাটা খাইননা তো,Don’t bother me,Rangpur
সংবাদপত্র কাঙিক্ষত পাঠকদের কাছে পৌছে যেত,Newspapers would reach the desired readers.,Narail
তুই এতদিন কোটে ছিলু,Where were you all this time?,Rangpur
মোর মন খারাপ,I am feeling bad.,Rangpur
তুই এক্কেরে পাকা হইয়া গেছস,You’ve become so grown-up now!,Khulna
তুমি হগল সোমায় নুতান কিছু হরতে চাও,You always want to do something new.,Barisal
তুমি কি আমার সাহায্য অরবা,Will you help me?,Narail
অল্প বয়সেই সে মারা যায়,He died at a young age.,Narail
দয়া করি আর কাকো কন না,Please don't tell others.,Rangpur
মুই তোর জন্য দোয়া কর,I pray for you always.,Rangpur
তুমি কি আইচকে রাত্তিরি বাইরে যাবা,Are you going out tonight?,Narail
কোটে দেখা করবু,Where will we meet?,Rangpur
তুমি প্রেত্যেকরে সোম্মান হরো,You respect everyone.,Barisal
তুই এত জ্বালাস ক্যারে,Why do you annoy so much?,Khulna
লায়লীও মজনুর প্রতি গভীর আকর্ষণ অনুভব করহে,Layla also feels a deep attraction to Majnun.,Narail
এইহানে মোর লইগ্গা অপেক্ষা হইর্রো,wait for me here,Barisal
হেই মাছটা কিনলাম তরকারি করবো,I bought that fish; I will cook it.,Rangpur
রোংপুইর্রা ভাষাই মোগো মাতৃভাষা,Rangpur language is my mother tongue,Barisal
তোমার লগে কাডাইন্না সোমায় আনন্দময়,Happy time with you.,Barisal
হেতিরা ভ্রমণ করেছিলো,The girls traveled.,Narail
অস্তে কতা কও,speak slowly,Barisal
তুই খুব আশা দেইশ,You are a great inspiration.,Rangpur
মুই ক্রিকেট খেলমু,I’ll play cricket.,Barisal
তোক দোয়া দিনু,I gave you my blessings,Rangpur
আমার দাদির হাতে পিঠে বানানো শিখতে হয়বো,I have to learn how to make rice cakes from my grandma.,Narail
বইসা বইসা কি করস,"Sitting, sitting, what are you doing?",Khulna
মুই তোর জন্য নতুন একনা জিনিস আনসং,I brought something for you.,Rangpur
তোমার এত্ত ঘুম আয় কির লইগ্গা,Why do you sleep so much?,Barisal
তুই কি গান গাতি ভালবাসিস,Do you love singing?,Khulna
তুমি কি কিছু নতুন চিষ্টা করতি চাও,Do you want to try something new?,Narail
কুথায় কুথায় ইংরেজি কবে আমাইগে সামনে হোডা আমাইগে সহ্য হবে না,Sometimes mixing English with our language won’t be tolerated.,Khulna
যা করতে বলি তাই করো,Do what I tell you to do.,Narail
কি সুন্দুর এইডা এট্টু উপহার দেন,How beautiful! Give me a little gift.,Khulna
আইজ বার্ষিকী পালন কর,Celebrate your anniversary today.,Rangpur
কাইল খান এলা,Eat here tomorrow.,Rangpur
আজ স্কুলে বিশাল মেলা মজা হয়েছিল,School was a lot of fun today.,Narail
তুমি কি হরছো,what are you doing,Barisal
ভাইয়েরে ডাক জমি চাষা লাগবো,Call the brother; we need to plough the land.,Rangpur
বাহ তুই সেরা,You are the best!,Khulna
মোর বাদে কি আনছিস,What did you bring besides me?,Rangpur
অয় খুব ফিটফাট,You are very smart.,Rangpur
তুই কি এমন কিছু শুনছিশ যেটা অদ্ভুত,Have you heard anything strange?,Rangpur
কেংকা আছিস তুই,How are you doing?,Rangpur
একজন বন্ধুকে ট্যাগ করুন যে সম্পর্ক করতে পারে,Tag a friend who can relate.,Narail
আমরা এহন যেতে পারি,We can go here.,Narail
তুমি কি অন্য ভাষা হেকতে চাও,Do you want to learn another language?,Barisal
হেই কালে লগে দিয়া এউক্কা হিয়াল যায়তেয়াছেলো,fox was moving along with it at that time.,Barisal
খুব ভাল নাগিল,Very nice.,Rangpur
এই খাওনডা আ্যাকছের সুস্বাদু,This food is very tasty.,Barisal
ধান কাটার সময় ফসলুয়া লাগবো,We will need a sickle when harvesting rice.,Rangpur
আমি সব সুমই সত্যি কথা কই,I always speak the truth.,Khulna
তোর ইশকুলত যা,Go to your school.,Rangpur
কলপারে যাও,Can call,Barisal
তুই প্রত্যেকটা দিনক স্ররণীয় করি তুলিস,You make every day memorable.,Rangpur
তুমি কি প্রযুক্তিতে আগ্রহী উৎসুক,Are you interested in technology?,Narail
কি সুন্দর গানের লাইনটি আর একবার বলবেন,Can you repeat that beautiful line of the song?,Narail
সোইন্দা হয়ছে গরু ছাগল চড়াই লা আওতের নাগে,"It’s already evening, and the cows, goats, and chickens still haven’t returned",Rangpur
তাইলে আমরা এখন বের হয়ে যায়,So we're leaving now.,Narail
একলা খাড়া হও,Wait a minute.,Rangpur
তোর ট্যালেন্ট দেখার মতো,Your talent is worth seeing.,Rangpur
সার্ভার ব্যবহার কইরেছিলাম,I used the server.,Narail
ছোটবেলায় ফুটবলের প্রতি তাঁর আকর্ষণ ছিল মেলা,His interest in football was evident as a child.,Narail
নৌকা বাইতে জানস নাকি,Do you know how to row a boat?,Khulna
এট্টু সাবধান থায়ো,Be a little careful.,Narail
এইটা মোর সবচাইতে পিও খাবার,This is my favorite food.,Rangpur
কোনটেরে তুই,Where are you?,Rangpur
আজ মোর কাম করার মন নাই,I don't feel like working today.,Rangpur
আঙ্গু্র ফল মোর পছন্দ,I like grapes.,Barisal
তোর গলা এক্কেরে লাড্ডুর মত,Your voice is just like a sweet laddu!,Khulna
মুই তোর বন্ধ হোবার চাং,I want to be your friend.,Rangpur
যেটা কং সেটা মনে থো,Remember what I say.,Rangpur
জিসানের পড়তে ভালো লাগছে না,Jisan doesn't feel like studying.,Narail
সময় করি খায়্যা নেইস,Take your time and eat.,Rangpur
মায় ভাত লইয়্যা আইছে,Mother is bringing rice,Barisal
আইসো হামার বাড়িত পন্তা ভাত আছে,"Come, we have panta rice at home.",Rangpur
নালমুনি মোর বাড়ি,Lalmoni is my home.,Rangpur
মোরে কিছু কও,tell me something,Barisal
এই গাছটা খুব বড়,This tree is very big.,Khulna
গতকাল সুমনদের ভিটেই গিছিলে,"Yesterday, you went to Sumon's place.",Narail
এহন কি হরতে হইবে কও,Tell me what to do now.,Barisal
বাহ তুমি এত্তো ভালো হইর্রা হেকছো,Wow! You have learned so well!,Barisal
তুমি খুব ধৈর্যশীল একজন মানুষ,You’re a very patient person.,Khulna
এইহান দিয়ে সোজা গেলেই হবে,You just have to go straight through here.,Narail
তুমি কি কোনো নুতান প্রোজেক্টে কাম হরতে আছো,Are you working on a new project?,Barisal
ওই কিতাবডা আমারে দে,Give me that book.,Khulna
রাস্তাডা খুব ভাঙা,The road is very broken!,Khulna
কালকে ফোন করিস,I will call you tomorrow.,Rangpur
হ মুই মিষ্টি খাইতে ভালোবাসোম,"Yes, I love to eat sweets.",Rangpur
হায় হায় কি হইলো,Ha ha ha! What happened!,Barisal
বাড়িত ওইস তো মুই এখনা হাট থাকি আইসোং,"At home, I have now come from the market.",Rangpur
তুমি কহোনো সোমায় মতো আও না,You are never on time.,Barisal
আমাগো গাছে আম পাকতে শুরু করেছে,The mangoes have started to ripen on our tree.,Narail
নিষ্ক্রিয় আয়ের ধারা আর্থিক নিরাপত্তা স্বাধীনতা প্রদান করতে পারে,Passive income streams can provide financial security and independence.,Narail
ভালো করি আন্দা শিখিস,Learn to cook well.,Rangpur
মোর লইগ্গা কিছু মিষ্টি লইয়া আন,Will you bring me some sweets?,Barisal
ঠিকই বসলো ওনারা,They fit in well.,Khulna
তুই এলাও এইতক্যার আও করিস,You still talk about this place.,Rangpur
তোমরা সবাই একসাথে শিখলে কোথা থেকে,Where did you all learn together?,Khulna
দয়া হইর্রা মোর পছন্দের খাওন রান্না হরেন,Please cook my favorite food.,Barisal
ছাএরা ফুটবল খেলতো,The boys were playing football.,Narail
সার্কাস চলতেছিলো রাজনীতিতে,The circus was going on in politics.,Narail
আর কেউন্নাইলে ইচ্ছা মতো ছ্যাচপে,"And even if I give Myr, I will kill as I want",Barisal
ভ্রমণে সুখী হয়েছিলাম,I was happy with the trip.,Narail
সরকার সুবিধে দিলো,The government provided benefits.,Narail
এক কাপ কফি বানাওদিন,Make a cup of coffee.,Khulna
আয় সবসময় নতুন কিছু করতে চায়,You always want to do something new.,Rangpur
কেমন করি এটা সম্ভব,How is this possible?,Rangpur
আপনি কিরাম আছেন,How are you?,Khulna
মোর দীঘিতে ঝাঁপ দেতে মোল্লায়,I want to jump in the lake,Barisal
তোরে দেইক্কা নিমু,I’ll take a look at you.,Barisal
কফিডা ক্যামন,How's the coffee?,Barisal
তুমি কি সকালে উঠি ব্যায়াম করো,Do you get up early to exercise?,Khulna
আড্ডি দেরি করিস না আস,Don’t be late hanging around — come!,Rangpur
তোমরা আইছো একটু বও,"You are coming, sit down",Barisal
বেলা টা আগত উটুক তারপর কইম এলা বারে,"Wait until noon, then I will tell you.",Rangpur
এত সকাল সকাল উঠলে ক্যান,Why do you get up so early?,Narail
কি চিন্তার ব্যপার,What a serious matter!,Rangpur
আমারে এট্টু সুমায় দাও,Give me a little time.,Narail
আমার একটা নতুন কাজ শুরু হুইছে,I have started a new job.,Khulna
আমাগো গাঁয়ের মানুষ খুব ভালো,The people of our village are very nice.,Narail
তোমার ছোটবেলার সেরা স্মৃতি কি,Do you love traveling?,Narail
কিরে চিন্তা করস ক্যান,"Hey, why are you so worried?",Khulna
অসাধারণ,Amazing!,Narail
মুই যামু না,I will not go.,Narail
এইডা ঠিক হইলো না কন,This wasn’t right at all!,Khulna
কামের তালিকা রেডি হরো,Make a to-do list.,Barisal
মুই এহন পাবনা যামু,I will go to Pabna now,Barisal
তোর লগে খুব দরকারি কতা আছে,I have something very important to tell you!,Khulna
হ মুই রাইতোত খাবার চাম,"Yes, I want food at night.",Rangpur
জাইললারা মাছ ধরতেয়াছে,The guys are catching fish.,Barisal
বাইত যাইলে সাবধানে যাইস,Be careful when going out!,Khulna
তুমি জানলি কও,Tell me if you know.,Khulna
মুই এত্তো সোমায় দেতে পারমু না,I can't give that much time.,Barisal
তুমি কি ইস্কুলি যাও,Do you go to school?,Narail
এউগ্গাই কমু কওয়াই লাগবে,"I will say this, it needs to be said",Barisal
তোর লগে কতদিন পর দেখা,Meeting you after so long!,Khulna
ভালো লাগছে,I like it.,Barisal
মুই আবার রোংপুর যামু,I will go to Rangpur again,Barisal
মোর নাম আলী,My name is Ali.,Rangpur
সত্যিই এটা সম্ভব কেম্মা হলো,Really! how It's possible!,Narail
মুই সব সময় সত্যি কং,I always speak the truth.,Rangpur
হেতিরা সবাই কোনহানে যায়,Where do all the Haitians go?,Narail
তোর কি কোনো শক আছে,Do you have any hobbies?,Rangpur
কি বাহে তোমালা সবায় আইতের ভাত খাইছেন,Did everyone eat at this night?,Rangpur
মুই মেলা খুশি,I am happy.,Rangpur
এইহানে ভালো বাইলে খারাও,Stand here well.,Barisal
রং হরতে পারবি তুই,You can color it.,Barisal
তুই কোটে কাজ করিস,Where do you work?,Rangpur
তোর পছন্দের জিনিসগুলা দেখাও,Show me your favorite things.,Rangpur
অমপুরের পেইজোত আসি তোরা ক্যাম্মা এ্যাংকা করি কতা কওছেন,"I came to rangpur’s page, and you all are talking like this!",Rangpur
তোমার পিয় ছুটি কোনডে,Which is your favorite holiday?,Narail
আমার এট্টা নতুন কাজ শুরু হইছে,I’ve started a new job.,Narail
গোয়ালে গরু দুধ দিছে আজকে,The cow in the cowshed gave milk today.,Rangpur
এই কামডা আ্যাকছের কষ্টের,This work is very difficult.,Barisal
তুমি কি সিনেমা দ্যাখতে পছন্দ জরো,Do you like watching movies?,Barisal
দেহেছিস হঠাৎ করে কি হয়ে গেলো,What happened  all of a sudden?,Narail
সবায় আইতের ভাত খাইছেন,Everyone is eating dinner.,Rangpur
মুই তোক হাতি দিবার চাং,I want to give you an elephant,Rangpur
হগলডি বেবাক কইয়া হালাইছে,Everyone has said everything,Barisal
মোরা গ্যালাম,we went,Barisal
এডা সোম্ভাব না,It is not possible.,Barisal
এহন বেশিরভাগ মানুই ঢাকায় যাইয়া রোংপুইর্রা ভাষায় কতা কইতে পারে না,Now most of the people go to Dhaka and cannot speak the language of Rangpur,Barisal
তোমরা হগলে কেম্মা আছো,How are you all doing?,Narail
নিজের কাম শেষ হরো,finish your work,Barisal
তুমি হগল জনিস প্যাঁচাও,You complicate everything.,Barisal
এম্মে হইর্রো না,Don't do it like this.,Barisal
কি ছমছইম্মা ঘডোনা,What a terrible event!,Barisal
কোমবেলা থাকি তোমারগুলার নেকা গুলা পড়বার নাকচং,Since when have I been reading your writings?,Rangpur
সেই ছোড থাকাত তোর মায়ের বুড়া বান্নের ডাং খায়া আর তোমার বাড়িত মুই আর যাংনাই,"Since childhood, after getting beaten with a big broom by your mother, I never went to your house again",Rangpur
হেরে কাজল দেলে মেলা ভালো লাগে,She likes it when kajal is applied,Barisal
বইটা এটে অ্যাটে থো,Keep the book here.,Rangpur
তুই সোগ কাজত শেরা,You are the best at everything.,Rangpur
পোলাডা খুব দুষ্ট,The boy is very naughty.,Khulna
তোর সাতে সময় দেলে ভাল নাগে,Spending time with you is a joy.,Rangpur
সুমনের বাবা ক্ষেতে কাম করতে গিয়েছে,Suman's father has gone to work in the fields.,Narail
কোয়ানে তুই,Where are you?,Narail
কি বিপদে পড়লাম,What a trouble I got into!,Narail
তোমার কি পছন্দের টেলিভিশন শো আছে,Do you have a favorite TV show?,Narail
তোমার কতা গুলা অনুপ্রেরণামূলোক,Your words are inspiring.,Barisal
দুয়ারডা বন্ধ হরো,close the door,Barisal
গ্যাংয়ের পানি একদম শুকিয়ে গেছে,The water in the gang has completely dried up.,Narail
কাইলগো আবি তো,I will come tomorrow,Barisal
মোর প্রিয় গায়ক হইলো আর রহমান,My favorite singer is Ar Rahman.,Rangpur
চল মাছ কিনে আনি বাজার থেকে বুইছিস,Let's buy some fish and bring it back from the market.,Narail
মোরে ভুইল্লা যাইও না,don't forget me,Barisal
মোরে একটু সময় দাও,Give me a little time.,Narail
আছো ক্যামোনতারা,how are you,Barisal
অপরূপ সৌন্দর্য,Wonderful beauty!,Khulna
আমি তো আগেই কইছিলাম,I already told you before.,Narail
দয়া করি আসপের একনাও দেরি করিশ না,Please don't be late.,Rangpur
মাতায় বুদ্ধি হয় নাই,She has no sense.,Barisal
পূর্ণ সফলতা আসেনি,Not a complete success,Narail
কিডা আহসে,What’s this insect?,Khulna
বাহ তুমি সত্যিই পারদর্শী,Wow! You are really talented!,Narail
তুমি কুথায় ছিলে,Where have you been?,Khulna
বহির্বিশ্বের সাথে আমাগোর যোগাযোগের একমাত্র মাধ্যম ছিল সংবাদপত্র,The newspaper was Amago's only means of communication with the outside world.,Narail
সাবধানে থাকিস,Be careful.,Rangpur
কই যামু কই,Where should we go?,Rangpur
বউডা খুব চাউল পছন্দ করে,Sister-in-law loves rice!,Khulna
মাইনশে দেখলে তো সবাই হাসাহাসি করবে,Everyone will laugh if they see it ,Narail
হেইডা আবার কয় টাকা,How much is that again?,Khulna
এটেকোনা ঢং কইরব্যার আসোচেন,Are you coming here to show off?,Rangpur
তুই পড়ালেখা ঠিকমতো করিস না ক্যান,Why don’t you study properly?,Khulna
তোর লগে আর যাইতে মন চাইতাছে না,I don’t feel like going with you anymore!,Khulna
লাইক ইতিবাচকতা শেয়ার করুন,Like Share Positivity,Narail
তোর বাপ আসলে কইস,Your father actually said that.,Rangpur
ধোলা রঙের ইউক্কা গুঞ্জি,I told you to leave.,Barisal
তুই কিতা করতাছস,What are you doing?,Khulna
তুমি খুব ভালো মানুষ,You’re a very good person.,Khulna
বাপরে এমন হালকা খাওয়া যায়,Oh my! Can someone eat so little?,Khulna
আমি তুমাকে পছন্দ করি না,I don’t like you.,Khulna
তমরা হামাক তমার মতামত জানান,Let me know your opinion.,Rangpur
সে গেম খেলছিলো,He was playing games.,Narail
ধাননির পানিতে গোইল নাচতাছে,the cows are still dancing in the paddy field,Rangpur
কামে লাগবে,Will be useful,Barisal
মুখত হাসি থো,Keep a smile on your face.,Rangpur
এলায় আইসপেয়ার লাগছোং,I'll be right back.,Rangpur
মুই বাংলা খুব ভালবাসোং,I love Bengali very much.,Rangpur
কি মজার গপ্পো,What a funny story!,Rangpur
মুই নুতান কাম শুরু হরছি,I started a new job.,Barisal
আমি কথা বললাম,.I spoke.,Narail
মায়ে ওইদিন হাসা কথাই কইসেলে,Mom was telling the truth that day.,Barisal
কি করলে ভাল হয় একনা পরামর্শ দিবেন,What is the best thing to do? Please give me some advice.,Rangpur
রংপুরের ভাষাটাই আমাদের মধুর ভাষা,The Rangpur dialect is our sweetest language.,Khulna
দুয়ারডা বন্ধ হর,close the door,Barisal
চল একনা ঘুরি আছি,Let's go somewhere.,Rangpur
তুই কাইল আইস,You come tomorrow,Barisal
আইজগো মোরা ঘোরতে যামু,Today we will go for a walk.,Barisal
জোগতে বেড়াও গাবরুটাক দেখি আসি,Come out of the house — let’s go check on the cow,Rangpur
তোমা এমতোন হইলে বাকি লা কি হবে,"If you act like this, what will happen to the rest?",Rangpur
হে আ্যাকছের ভালো নাচে,He dances very well.,Barisal
তোমার হ্যা মোনে নাই,you don't remember,Barisal
তিনি হেই খুব ভালো শিক্ষক,He is a very good teacher.,Narail
দয়া করি ফোনটা দিয়া দেন,Please give me the phone.,Rangpur
তোমার কি ভ্রমণ হরতে ভাল্লাগে,Do you love to travel?,Barisal
এমন করি করিন না,Don’t do like this.,Rangpur
গাড়ির বেল্টডা পরো,Wear your seatbelt.,Khulna
চল বাজার থেকে যেয়ে আসি,Let's go to the market.,Narail
মোর একটা নয়া কাম শুরু হইচে,I have started a new job.,Rangpur
তুই কি কিছু শুনতি পাইছি,Have you heard anything?,Khulna
আব্বু আম্মু শোনলে কইবে ইয়ের ফির কি হইল,"If Mom and Dad hear this, they will tell you what happened.",Rangpur
দূহুইরে ঠিক বাইলে ফিররা আইয়ো,Come back in time at noon.,Barisal
রাইত মেলা হইছে,It's late at night.,Rangpur
তোর ফুটবল টা কোই আছে,Where is your football?,Narail
তোমার ইস্কুলে যাও,go to your school,Barisal
তোমার লাগবেডা কি,what do you need,Barisal
মুই চা বানাইয়া দেতে আছি,I have made tea,Barisal
দয়া হইর্রা মোরে সাহায্য হরেন,please help me,Barisal
সকালে উঠতে মনডা চায় না,I don’t feel like waking up in the morning.,Khulna
প্রকল্প ভিত্তিক শিক্ষা হাতে কলমে শিক্ষাগত অভিজ্ঞতার প্রচার করে,Project-based learning promotes hands-on educational experiences.,Narail
জলদি আহ দেরি হইয়া যাইবো,"Come quickly, we’ll be late.",Khulna
তুই কোন ইস্কলত পরিস,Which school do you attend?,Rangpur
পড়াশোনা লেখাপড়ায় ভালো করতাম,I was good at studying/learning.,Narail
তুমি কি ঠিকঠাক আছো,are you ok,Barisal
এটা ভুলে যাও,Forget it.,Narail
জমিজমা বেইচ্চা তোরা পড়া পড়াইছেলাম,I saved the land and taught you to read,Barisal
তোমার সাহাইজ্জ নাগবে,I need your help.,Rangpur
মোগো বাড়ি ক্যা,Where’s my home?,Barisal
এটে অ্যাটে বইশ,Sit here.,Rangpur
তুই কি ঘুমাইস,Are you sleeping?,Rangpur
মুই স্বপন দেখপের লাগছুং না তো,I'm not dreaming!,Rangpur
এখন কাজ শুরু করিয়ানে,Start work now.,Khulna
এই রাস্তাডা চিনি না,I don't know this road.,Barisal
আমায় ভুলি যেই না,Don’t forget me.,Khulna
এটা আগে করো,Do this first.,Narail
তোর পিও ছুটি কোনটা,What is your favorite holiday?,Rangpur
মুই এহন গেলাম,I'm gone now,Barisal
এইহানে বও এবং অপেক্ষা হরো,Sit here and wait.,Barisal
চৈতে মাসে খুব গরম পরবে এইবার,It will be very hot in the month of Chaitra this time.,Narail
এই জিনিসডা মোটেও ভালো না,This thing isn’t good at all.,Khulna
হ মুই স্কুলোত যান্নাইচ্চোম,"Yes, I am going to school.",Rangpur
দয়া হইর্রা আইতে একটুও দেরি হরবেন না,Please don't be late.,Barisal
আইজ হামরা ঘুরবের যামো,Today we will go for a walk.,Rangpur
এটা একটা ভালো সময় বেড়ায়নির জন্যি,This is a good time for the traveler.,Khulna
কয়টা রোজা দিলু,How many fasts have you observed?,Rangpur
টেলিভিশন বন্ধ করো,Turn off the television.,Narail
তুমি সবসময় ইতিবাচক থাকতে চাও,You always want to stay positive.,Khulna
সুজন মোগোর কথা কান পেতে শুনেছিল,Sujon had overheard our words.,Narail
বাচ্ছাই আয় কেনে খোলাত যাই,"Child, come, let’s go outside.",Rangpur
বাইরে যাইতে হইলে জামাডা পইরা নে,"If you go outside, wear a shirt.",Khulna
ভাষা ভুইল্লা যামু,Will I forget the language?,Barisal
মোরা দেইখ্যা হুইন্না চলতে হারি,We can go on and on,Barisal
তুই বাজার করা ব্যাগ নিয়াইছিস,did you brought a shopping bag.,Narail
মোর জন্যে অল্প করি মিষ্টি আনেন,Will you bring me some sweets?,Rangpur
মোর লগে সোমায় কাডাও,spend time with me,Barisal
ওইতি মেলা সুন্দর গান গায়,She/He sings very beautifully.,Narail
তুই কোই আছিলির,Where are you?,Narail
যুদ্ধ সংঘটিত হয়েছিল,The war took place.,Narail
তোমার কি শওরের বাইরে যাইতে মোল্লায়,Do you want to go out of town?,Barisal
তোমার সাতে একনা কথা কমো,Can I talk to you for a moment?,Rangpur
তুই এত দেরি করলি ক্যান,Why are you so late?,Khulna
এতো বড় ব্যাপার,Such a big deal!,Narail
আমায় আর কি শিখাবা তোমরা,What more will you teach me?,Khulna
বইসো সবায়,"Sit down, everyone.",Rangpur
মোনের আনন্দে নাচ মোল্লাইতাছে,I want to dance with joy!,Barisal
তোমাদের দেখে খুব ভালো লাগলো,It was really nice to see you all.,Narail
মোরে সত্যিডা কও,tell me the truth,Barisal
তুমি কি ফোযুক্তিতে আগ্রহী,Are you interested in technology?,Narail
সাহসে কুলোচ্ছে না,Not daring to do so.,Narail
দয়া করে সুস্বাদু খাবার বানাও,Please make delicious food.,Narail
আমার এট্টুসকান সময় দেন,Give me some time.,Khulna
একজন ম্যানশের দুইকনা ব্যাটা আছিল,A man had two sons.,Rangpur
সেদিন হেদের বুক গর্বে সাহসে আত্মবিশ্বাসে ভরে উঠেছিল,"That day, Hed's chest was filled with pride, courage, and confidence.",Narail
মুই আমনের লগে আছি,I’m with you,Barisal
এভাবে আর চলে না,It doesn't work like this anymore.,Narail
মোগো না লাগে শরম,We don't need serum,Barisal
এইটা কোনো কাম করছো তুমি ভাই,how you have done this brother,Narail
আমাকে এইজাইগায় দাড়াতি বলেন,Tell me to stand here.,Khulna
মুরুব্বীরা কয় ছেলিপিলির বেশী লিখাপড়া করা ভালো না,"Elders say, kids shouldn’t study too much.",Khulna
তুই এত জোরে কথা কস ক্যান,Why are you talking so loudly?,Khulna
একটু সুস্বাদু রান্না হইররো,Cook some delicious food.,Barisal
হায় হায় এটা কি হলো,Oh my! What happened?,Narail
ভালো রকম করে গেম খেলেছিলাম,I played the game well.,Narail
হায় রে হায় আমি তো ভুলেই গেছিলাম,"Oh dear, I had forgotten.",Khulna
হামার বাড়িত আইজ গচি মাচ আন্দিছে,Today we are cooking fish at our house.,Rangpur
তুমি বেমালা পরিশ্রমী,you are hard working,Barisal
তোমার নেকা সেইঙ্কা হইচে,That's what you wrote.,Rangpur
তুই তোর বইটা আমার কাছে একটু দিবি,Will you give me your book for a while?,Khulna
মুই কি আম্মের কিছু জানতে হারি,May I know something about you?,Barisal
তুই কি চা খাবু,Do you want to drink tea?,Rangpur
মোর বাবা একজন ডাক্তার,My father is a doctor.,Narail
অতিত আইছে,The guest is coming,Barisal
আজ খুব তাড়াতাড়িই বাসায় চলে আসলাম,I came home very early today.,Narail
কি সুন্দর সুন্ধী,How beautiful and fragrant!,Khulna
জন্য কিছু রিজার্ভ করতে পারি,Can we reserve something?,Khulna
একনা শান্ত থাকেন,Calm down.,Rangpur
এউগ্গা আগে হরো,Do it first.,Barisal
আজকে না কনসার্টটি ফাইন হবেন,Today’s concert will be great.,Khulna
আইজ মোর কোনো ইচ্ছা নাই,I'm not in the mood today.,Rangpur
ওয় মোর প্রিয় বন্ধ,He/She is my favorite friend.,Rangpur
তুমি কি বাইরে বেড়াতে যাও,Do you go out for trips?,Narail
কামডা সোঠিক বাইলে হরো,Do the job right.,Barisal
বাহ কেদন করি করলু,Wow! How did you do it!,Rangpur
